Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2731","Bovine Meat","2019","2019","1000 t","59","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2731","Bovine Meat","2019","2019","g/cap/d","1.56","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2731","Bovine Meat","2020","2020","1000 t","60","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2731","Bovine Meat","2020","2020","1000 t","3","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2731","Bovine Meat","2020","2020","1000 t","59","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2731","Bovine Meat","2020","2020","g/cap/d","1.55","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2731","Bovine Meat","2021","2021","1000 t","63","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2731","Bovine Meat","2021","2021","1000 t","9","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2731","Bovine Meat","2021","2021","1000 t","70","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2731","Bovine Meat","2021","2021","g/cap/d","1.81","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2731","Bovine Meat","2022","2022","1000 t","63","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2731","Bovine Meat","2022","2022","1000 t","16","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2731","Bovine Meat","2022","2022","1000 t","74","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2731","Bovine Meat","2022","2022","g/cap/d","1.86","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2733","Pigmeat","2010","2010","1000 t","105","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2733","Pigmeat","2010","2010","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2733","Pigmeat","2010","2010","1000 t","105","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2733","Pigmeat","2010","2010","g/cap/d","2.82","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2733","Pigmeat","2011","2011","1000 t","110","I","Imputed value",""
