hhid,province,qty_rice_harvested,area_rice_harvested
HID114551,Svay Rieng,1100,1
HID114611,Takeo,500,.1
HID114689,Kandal,7800,2
HID114704,Siem Reap,0,0
HID114730,Kandal,0,0
HID114980,Siem Reap,0,0
HID115123,Takeo,0,0
HID115212,Takeo,1800,.47
HID115257,Kandal,2000,.61
HID115391,Takeo,1250,.4
HID115392,Kampot,2080,.88
HID115410,Kampong Cham,5800,2.4
HID115529,Otdar Meanchey,30000,26
HID115569,Takeo,420,.13
HID115584,Kampong Cham,5600,2.8
HID115626,Kep,0,0
HID115627,Otdar Meanchey,0,0
HID115740,Siem Reap,4000,3
HID115743,Kampong Thom,0,0
HID115747,Kampong Speu,1200,.45
HID115854,Prey Veng,4000,1.7
HID115904,Battambang,0,0
HID115977,Tboung Khmum,0,0
HID116371,Kampong Speu,750,.98
HID116534,Tboung Khmum,8400,4
HID116575,Kampot,1100,.7
HID116661,Kampong Thom,0,0
HID116789,Siem Reap,0,0
HID116889,Kampong Chhnang,0,0
HID117044,Pailin,0,0
HID117166,Prey Veng,6000,1.1
HID117174,Battambang,800,.24
HID117269,Tboung Khmum,720,.4
HID117397,Siem Reap,1500,.7
HID117714,Battambang,16500,9
HID117744,Prey Veng,0,0
HID117824,Kampot,1070,.68
HID117853,Kampot,0,0
HID118036,Kampot,2750,1.21
HID118073,Prey Veng,2500,1.64
HID118174,Kratie,0,0
HID118177,Kampot,1000,.5
HID118288,Kandal,0,0
HID118482,Tboung Khmum,0,0
HID118603,Kandal,0,0
HID118622,Pursat,0,0
HID118759,Kampot,0,0
HID118845,Battambang,18000,4
HID119063,Battambang,0,0
HID119064,,0,0
HID119074,Kampong Cham,1400,.6899999999999999
HID119102,Kampong Speu,700,.15
HID119117,,0,0
HID119134,Tboung Khmum,0,0
HID119145,Pursat,800,2
HID119343,Kandal,0,0
HID119540,Takeo,2400,.4
HID119613,Pailin,0,0
HID119701,Kampong Cham,0,0
HID119707,Kandal,0,0
HID119811,Tboung Khmum,0,0
HID119850,Battambang,0,0
HID119860,Tboung Khmum,1575,.5
HID119874,Siem Reap,6000,3.5
HID119895,Kampong Cham,3900,1.5
HID119899,Kampot,760,.3
HID120023,Takeo,2100,.6
HID120154,Battambang,1200,.5
HID120206,Kampot,0,0
HID120345,Kratie,3000,1.5
HID120414,Prey Veng,4900,1.71
HID120453,Kandal,0,0
HID120487,Kampong Speu,2400,.7
HID120524,Banteay Meanchey,0,0
HID120683,Prey Veng,1950,.4
HID120947,Battambang,0,0
HID120976,Preah Sihanouk,0,0
HID121031,Preah Vihear,4000,6
HID121121,Siem Reap,0,0
HID121348,Kampong Speu,0,0
HID121372,Kampot,0,0
HID121373,Pursat,800,.3
HID121412,Preah Vihear,0,0
HID121420,Takeo,1000,.3
HID121476,Battambang,5525,2
HID121521,Takeo,2000,.5
HID121877,Siem Reap,1000,.43
HID121908,Kampot,50000,7
HID121953,Kampong Cham,0,0
HID121972,Kampong Thom,720,.3
HID121990,Svay Rieng,0,0
HID122035,Kampot,1100,.3
HID122130,Kampong Thom,10000,2
HID122149,Banteay Meanchey,4000,5
HID122472,Prey Veng,0,0
HID122488,Pursat,550,1.4
HID122500,Kandal,50000,10
HID122663,Kampong Chhnang,1000,.5
HID122733,Kampong Speu,0,0
HID122787,Mondul Kiri,0,0
HID122919,Siem Reap,0,0
HID122920,Kratie,2500,2
HID122992,Mondul Kiri,2500,1
HID123010,Stung Treng,0,0
HID123179,Prey Veng,500,.75
HID123283,Kampot,2300,1.09
HID123382,Battambang,3000,1
HID123527,Takeo,1000,.95
HID123588,Kampong Thom,1200,1
HID123638,Otdar Meanchey,0,0
HID123680,Kampot,1350,.3
HID123685,Tboung Khmum,1200,.4
HID123727,Kampong Cham,0,0
HID123780,Kampong Thom,0,0
HID123794,Kampot,3600,1
HID123797,Kampot,4365,.9352
HID123830,Prey Veng,2500,2.05
HID123865,Kampong Thom,1600,1
HID124040,Kampot,0,0
HID124095,Takeo,10500,1
HID124140,Battambang,0,0
HID124200,Prey Veng,1700,.65
HID124219,Preah Sihanouk,7000,3.5
HID124324,Tboung Khmum,1040,.4
HID124360,Kampot,900,.23
HID124568,Kampong Speu,688,.3
HID124582,Battambang,2000,.7
HID124605,Kampot,7050,2.7
HID124616,Kampot,5000,2.992
HID125113,Prey Veng,4200,2.42
HID125133,Preah Vihear,16500,10
HID125173,Ratanak Kiri,2000,1
HID125372,Prey Veng,0,0
HID125435,Takeo,550,.24
HID125459,Takeo,2500,.5
HID125469,Prey Veng,14040,2.5
HID125549,Tboung Khmum,0,0
HID125552,Kampot,400,.1
HID125567,Kratie,4000,10
HID125572,Preah Vihear,8000,9
HID125632,Kampong Thom,0,0
HID125640,Pursat,2100,2
HID125654,Kampong Chhnang,5600,1.7109
HID125678,Pailin,0,0
HID125683,Battambang,0,0
HID125702,Siem Reap,900,1
HID125854,Kampong Chhnang,1910,.35
HID125929,Prey Veng,1500,1
HID126001,Kampong Speu,400,.3
HID126004,Koh Kong,0,0
HID126037,Svay Rieng,8500,3
HID126115,Kampong Speu,500,.24
HID126274,Svay Rieng,15000,2.7
HID126560,Kampong Thom,240,.5
HID126607,Kampong Thom,1800,.4
HID126875,Kampot,600,.2
HID126903,Tboung Khmum,0,0
HID127043,Battambang,14000,7
HID127182,Phnom Penh,0,0
HID127264,Tboung Khmum,2000,.7
HID127325,Kandal,0,0
HID127342,Prey Veng,1200,.3
HID127537,Phnom Penh,0,0
HID127713,Kampong Speu,1000,.5
HID127761,Prey Veng,4800,.8999999999999999
HID127874,Takeo,3000,.74
HID127926,Siem Reap,2500,1
HID127981,Banteay Meanchey,0,0
HID128062,Preah Vihear,1000,.5
HID128093,Tboung Khmum,1800,.5
HID128191,Banteay Meanchey,2000,1
HID128233,Kampot,3000,2.3
HID128352,Prey Veng,1350,.3
HID128462,Kampong Speu,2000,1.81
HID128486,Svay Rieng,1700,.43
HID128496,Kampong Speu,3050,1.18
HID128578,Svay Rieng,0,0
HID128603,Prey Veng,0,0
HID128617,Ratanak Kiri,900,1
HID128632,Kampong Cham,0,0
HID128685,Kampong Thom,0,0
HID128697,Prey Veng,3800,1.4
HID128773,Takeo,1040,.39
HID128791,Takeo,78000,3.78
HID128989,Kampong Chhnang,0,0
HID129242,Kampot,1740,.91
HID129327,Kandal,0,0
HID129339,Pursat,2450,1.9
HID129376,Kratie,1500,1.7
HID129395,Battambang,10000,3
HID129495,Kandal,7500,1.3
HID129595,Kampong Chhnang,600,.5
HID129600,Kandal,7950,2.5
HID129665,Stung Treng,320,1
HID129788,Banteay Meanchey,0,0
HID129804,Kampong Chhnang,2800,1.18
HID129856,Kampong Chhnang,1260,.3999
HID130039,Kampong Chhnang,30000,4.2
HID130098,Prey Veng,18000,2.55
HID130104,Prey Veng,0,0
HID130165,Kampong Chhnang,400,.35
HID130174,Pursat,750,.4
HID130208,Banteay Meanchey,0,0
HID130216,Kampong Thom,10000,3
HID130238,Takeo,700,.05
HID130257,Prey Veng,960,.4
HID130357,Takeo,420,.25
HID130712,Battambang,0,0
HID130813,Banteay Meanchey,2000,1
HID130830,Siem Reap,1500,.9
HID130838,Battambang,5000,.66
HID130860,Kandal,600,.2
HID131059,Siem Reap,6000,1
HID131233,Pursat,1500,.8
HID131253,Tboung Khmum,1500,.8
HID131255,Phnom Penh,0,0
HID131297,Kandal,0,0
HID131367,Kampong Cham,2000,1.2
HID131391,Svay Rieng,2200,4
HID131476,Siem Reap,8000,1.7
HID131481,,1250,.8
HID131524,Takeo,250,.14
HID131577,Battambang,2000,1
HID131625,Koh Kong,0,0
HID131660,Battambang,1500,.5
HID131683,Svay Rieng,3500,.75
HID131959,Siem Reap,0,0
HID132027,Kratie,0,0
HID132099,Tboung Khmum,2000,.95
HID132118,Kampong Speu,2000,1.17
HID132326,Tboung Khmum,0,0
HID132405,Kampot,4500,2.3853
HID132464,Svay Rieng,0,0
HID132468,Battambang,0,0
HID132476,Kampong Cham,150,.1
HID132734,Battambang,1000,2
HID132754,Kampot,450,.1
HID132779,Kandal,0,0
HID132902,Takeo,1000,.5
HID132919,Takeo,490,.3
HID133075,Kratie,0,0
HID133163,Kampot,3000,1
HID133182,Kandal,2500,1
HID133362,Prey Veng,4750,1.55
HID133374,Kampong Thom,0,0
HID133384,Siem Reap,1500,1.5
HID133542,Ratanak Kiri,800,1
HID133671,Kampong Cham,0,0
HID133815,Siem Reap,0,0
HID133823,Preah Vihear,4500,1.5
HID133880,Kampong Speu,562,.18
HID133882,Battambang,0,0
HID133965,Pursat,0,0
HID134038,Takeo,480,.16
HID134148,Kampong Thom,800,.5
HID134359,Kampong Cham,0,0
HID134360,Svay Rieng,1000,.5
HID134670,Battambang,2500,3
HID134701,Kandal,0,0
HID134757,Stung Treng,600,1
HID134919,Prey Veng,15000,4.5
HID134975,Kampot,500,.076
HID134983,Kampong Chhnang,900,.5
HID134999,Preah Sihanouk,0,0
HID135025,Prey Veng,2500,.6
HID135078,Battambang,18000,4.5
HID135197,Kampot,0,0
HID135312,Banteay Meanchey,2500,1
HID135559,Battambang,1500,.48
HID135620,Kampong Speu,6000,1.5
HID135665,Pursat,9000,3
HID135681,Battambang,2090,4
HID135703,Takeo,800,.38
HID135799,Pursat,3000,.5
HID135808,Kampot,1500,.5
HID135853,Siem Reap,2050,2
HID135884,Banteay Meanchey,4500,2
HID135926,Banteay Meanchey,5000,2.5
HID135956,Kampong Cham,1300,.34
HID136050,Prey Veng,750,2
HID136254,Kampong Thom,0,0
HID136278,Otdar Meanchey,0,0
HID136281,Banteay Meanchey,500,.5
HID136309,Svay Rieng,1000,.4
HID136315,Prey Veng,2500,.75
HID136319,Siem Reap,2000,2
HID136501,Preah Vihear,1700,2
HID136563,Kampot,2200,1.4
HID136623,Takeo,200,.05
HID136650,Kampot,1200,.5
HID136912,Kampot,0,0
HID136959,Kandal,0,0
HID136972,Takeo,7000,1.8
HID137047,Kandal,0,0
HID137050,Kampong Cham,1300,1.5
HID137076,Kampong Thom,1400,.5
HID137095,Prey Veng,0,0
HID137139,Pursat,630,.5
HID137152,Prey Veng,1500,.3
HID137376,Battambang,0,0
HID137403,Prey Veng,0,0
HID137565,Banteay Meanchey,1500,.72
HID137620,Koh Kong,0,0
HID137641,Kandal,12500,2.5
HID137680,Prey Veng,2800,1
HID137736,Prey Veng,5000,1.565
HID137754,Kampong Speu,1200,.33
HID137761,Banteay Meanchey,0,0
HID137777,Kandal,0,0
HID137827,Otdar Meanchey,3920,2
HID137883,Prey Veng,18000,2
HID138000,Kampong Speu,700,.5
HID138046,Koh Kong,0,0
HID138069,Prey Veng,1500,1.5
HID138108,Takeo,0,0
HID138210,Pursat,1250,1.75
HID138246,,0,0
HID138391,Kep,0,0
HID138527,Takeo,1800,.6479999999999999
HID138655,Tboung Khmum,0,0
HID138680,Battambang,0,0
HID138683,Prey Veng,4000,.5
HID138781,Preah Vihear,0,0
HID138784,Prey Veng,1200,.3
HID138947,Takeo,250,.08
HID139170,Prey Veng,0,0
HID139180,Kampong Chhnang,0,0
HID139271,Prey Veng,200,.2
HID139418,Pursat,0,0
HID139442,Kampong Speu,0,0
HID139599,Kampong Cham,700,.5
HID139793,Kampong Thom,28000,8
HID139900,Battambang,6000,3.5
HID140000,Siem Reap,0,0
HID140305,Kampong Speu,3300,.7
HID140349,Kampong Cham,6000,2.5
HID140448,Takeo,1200,.4
HID140491,Tboung Khmum,0,0
HID140622,Battambang,40000,10.3
HID140625,Kandal,5000,1.28
HID140627,Kampong Cham,910,.28
HID140629,Kep,1100,.405
HID140732,Tboung Khmum,1500,.5
HID140857,Kampong Chhnang,2400,.9
HID141006,Preah Vihear,8000,5
HID141056,Takeo,2000,.3
HID141080,Banteay Meanchey,750,1
HID141096,Banteay Meanchey,13000,5
HID141102,Prey Veng,3120,.77
HID141106,Kampong Thom,0,0
HID141224,Kratie,0,0
HID141302,Kandal,12000,1
HID141328,Kampong Speu,2400,.5
HID141403,Kampot,825,.25
HID141462,Kampot,0,0
HID141530,Svay Rieng,400,.2
HID142161,Stung Treng,0,0
HID142283,Kep,0,0
HID142308,Battambang,0,0
HID142325,Kratie,1000,.47
HID142530,Kampot,1815,.778
HID142596,Battambang,0,0
HID142616,Battambang,0,0
HID142739,Kampong Cham,14000,2.5
HID142772,Kampong Thom,870,6
HID142807,Kandal,12000,2
HID142836,Prey Veng,0,0
HID142858,Kandal,0,0
HID142869,Takeo,1250,1
HID143056,Kampong Chhnang,2500,2.5
HID143096,Kandal,0,0
HID143146,Siem Reap,3000,1.5
HID143161,Kandal,2000,.4
HID143170,Kampong Speu,0,0
HID143304,Battambang,0,0
HID143360,Svay Rieng,0,0
HID143377,Kampong Speu,1500,.7
HID143455,Otdar Meanchey,7680,2.5
HID143478,Kampot,420,.17
HID143566,Kampong Chhnang,2000,.6
HID143606,Prey Veng,12250,4
HID143619,Otdar Meanchey,2000,3.25
HID143646,Tboung Khmum,0,0
HID143715,Kampong Thom,9000,9
HID143834,Kampong Speu,15000,2
HID143927,Kampong Speu,750,.4
HID144083,Siem Reap,900,1
HID144298,Kandal,0,0
HID144302,Kampong Speu,2200,1
HID144313,Takeo,4500,.58
HID144315,Kampot,2100,.9350000000000001
HID144332,Preah Sihanouk,0,0
HID144343,Battambang,2000,2.8
HID144358,Pursat,40000,10
HID144414,Battambang,31000,5
HID144449,Takeo,10000,3.8
HID144477,Pursat,500,.5
HID144559,Stung Treng,0,0
HID144621,Preah Vihear,2280,2
HID144632,Prey Veng,4000,.9
HID144803,Prey Veng,2000,.7
HID144881,Banteay Meanchey,2000,1
HID144965,Takeo,420,.104
HID145062,Pursat,260,1.4
HID145344,Kampong Cham,0,0
HID145345,Prey Veng,6660,3.95
HID145366,Kampot,1780,.5700000000000001
HID145370,Takeo,1800,.42
HID145443,Takeo,2000,.3675
HID145546,Kampong Thom,7000,2
HID145702,Kandal,3500,2
HID145933,Kampong Thom,8000,4.1
HID145942,Stung Treng,2500,1
HID146091,Kampong Speu,500,1.02
HID146460,Siem Reap,0,0
HID146542,Kampong Cham,375,.3
HID146552,Kampong Cham,3000,1
HID146662,Kratie,0,0
HID146672,Kampong Thom,0,0
HID146691,Kampong Cham,1000,.8
HID146904,Siem Reap,1800,1.3
HID146985,Tboung Khmum,0,0
HID147043,Koh Kong,1600,.5
HID147069,Kampong Speu,1850,.88
HID147295,Kandal,600,.2
HID147374,Svay Rieng,1000,.5
HID147441,Kampong Chhnang,300,.1
HID147557,Svay Rieng,3500,3
HID147746,Kampong Speu,1150,.5
HID147761,Battambang,9000,4
HID148023,Siem Reap,1000,1
HID148045,Kampong Thom,0,0
HID148048,Banteay Meanchey,4000,.95
HID148055,Tboung Khmum,4200,2
HID148224,Tboung Khmum,0,0
HID148297,Kampong Thom,6000,4
HID148327,Tboung Khmum,0,0
HID148335,Battambang,0,0
HID148376,Otdar Meanchey,5600,6
HID148438,Koh Kong,0,0
HID148449,Banteay Meanchey,5500,1.64
HID148514,Tboung Khmum,600,.5
HID148553,Siem Reap,2000,3
HID148686,Kampot,385,.2021
HID149084,Battambang,0,0
HID149249,Koh Kong,520,.3
HID149306,Kandal,0,0
HID149343,Siem Reap,0,0
HID149380,Kampot,900,.54
HID149518,Phnom Penh,1650,.36
HID149527,Kandal,6900,1
HID149537,Prey Veng,0,0
HID149634,Phnom Penh,200,.4
HID149644,Kampong Speu,2050,1
HID149739,Preah Sihanouk,0,0
HID149806,Siem Reap,8000,2
HID149870,Svay Rieng,5010,2
HID149980,Kampong Cham,0,0
HID150063,Banteay Meanchey,7000,7
HID150076,Kampong Speu,5000,2
HID150116,Tboung Khmum,3000,2
HID150129,Tboung Khmum,7000,2.7
HID150155,Svay Rieng,3500,1
HID150161,Otdar Meanchey,12000,7
HID150189,Pursat,12000,10
HID150215,Takeo,13500,1.5
HID150225,Banteay Meanchey,0,0
HID150268,Takeo,7200,1.2
HID150410,Siem Reap,8000,4
HID150518,Kampong Speu,1300,.35
HID150585,Tboung Khmum,1000,.4
HID150604,Kandal,800,.16
HID150674,Takeo,2500,.8
HID150755,Svay Rieng,600,.7
HID151037,Kampot,550,.3
HID151134,Stung Treng,0,0
HID151293,Kandal,0,0
HID151308,Prey Veng,2500,.34
HID151379,Battambang,0,0
HID151394,Prey Veng,4500,1.9
HID151421,Kampong Thom,1360,.52
HID151473,Siem Reap,0,0
HID151536,Kampong Speu,2100,.5
HID151634,Phnom Penh,0,0
HID151682,Siem Reap,0,0
HID151807,Siem Reap,5000,1
HID151818,Kampong Speu,1000,.68
HID151850,Svay Rieng,850,.75
HID151889,Kampong Cham,0,0
HID151960,Tboung Khmum,0,0
HID152008,Kratie,0,0
HID152040,Prey Veng,0,0
HID152075,Kampong Speu,3950,1.3
HID152095,Pursat,600,.24
HID152241,Kampong Cham,0,0
