hhid,province,qty_rice_harvested,area_rice_harvested
HID257078,Tboung Khmum,0,0
HID257133,Tboung Khmum,3000,1
HID257157,Koh Kong,0,0
HID257258,Kampong Cham,0,0
HID257295,Svay Rieng,1100,.5
HID257356,Kampong Cham,0,0
HID257468,Svay Rieng,2500,.8
HID257493,Kampot,2475,1.19
HID257550,Kampong Thom,5400,1.4
HID257696,Kampong Thom,3500,2
HID257726,Prey Veng,1400,.7
HID257731,Takeo,2400,.47
HID257743,Siem Reap,0,0
HID257847,Battambang,2000,5
HID257858,Kandal,600,.0612
HID257887,Prey Veng,2475,.8
HID257916,Svay Rieng,2500,2
HID258081,Kandal,2500,.5
HID258188,Preah Vihear,16000,10
HID258209,Stung Treng,0,0
HID258410,Kandal,1500,.5
HID258636,Kandal,0,0
HID258643,Kandal,12000,2
HID258671,Svay Rieng,540,.2
HID258694,Koh Kong,0,0
HID258748,Kampong Speu,4900,2.3
HID258766,Kratie,1500,.8
HID258995,Takeo,2160,.5
HID259167,Kampong Thom,0,0
HID259297,Pursat,0,0
HID259319,Otdar Meanchey,6200,4.2
HID259490,Phnom Penh,200,.08
HID259559,Otdar Meanchey,10000,5
HID259567,Takeo,1500,.45
HID259583,Kampong Speu,700,.25
HID259699,Kampong Chhnang,6000,1.5
HID259819,Svay Rieng,1500,1
HID259926,Kampot,6500,3
HID259969,Kratie,15000,3
HID259979,Siem Reap,6000,5.5
HID260059,Kandal,0,0
HID260066,Kampot,912,.185
HID260089,Kampong Cham,2400,1.5
HID260175,Siem Reap,3500,2.5
HID260253,Kampong Chhnang,230,.048
HID260301,Takeo,3000,.3
HID260368,Siem Reap,5000,5
HID260401,Tboung Khmum,2000,.88
HID260500,Tboung Khmum,2500,1.5
HID260560,Takeo,1700,.5
HID260568,Pursat,500,.5
HID260574,Kampong Thom,1300,.2025
HID260697,Prey Veng,0,0
HID260704,Kampot,1500,.43
HID260726,Prey Veng,12000,1.5
HID260772,Siem Reap,0,0
HID260864,Battambang,30300,11.9
HID261125,Prey Veng,2000,1.14
HID261145,Prey Veng,2200,.45
HID261222,Tboung Khmum,500,.1
HID261312,Prey Veng,2500,1.4
HID261358,Siem Reap,88,.01
HID261490,Prey Veng,1000,.4
HID261562,Kampong Cham,0,0
HID261672,Kampong Speu,1200,.5
HID261699,Prey Veng,500,.3
HID261735,Tboung Khmum,1500,.85
HID262170,Stung Treng,0,0
HID262197,Prey Veng,8000,2
HID262257,Svay Rieng,150,.2
HID262283,Kandal,0,0
HID262309,Kampong Chhnang,3000,.975
HID262388,Kampong Speu,2200,1.15
HID262440,Svay Rieng,8500,2.35
HID262495,Takeo,2500,.21
HID262557,Siem Reap,16700,14.3
HID262670,Prey Veng,0,0
HID262818,Kandal,0,0
HID262915,Banteay Meanchey,1500,.3
HID262971,Kandal,0,0
HID263042,Takeo,1000,.3
HID263063,Tboung Khmum,0,0
HID263131,Preah Vihear,5300,4
HID263140,Prey Veng,1300,.67
HID263164,Kampong Cham,0,0
HID263208,Battambang,0,0
HID263306,Kandal,1400,.8
HID263313,Battambang,3000,1.5
HID263327,Kampong Speu,2240,.8
HID263338,Kampong Speu,0,0
HID263542,Kampong Thom,500,.3
HID263690,Stung Treng,0,0
HID264007,Kampong Speu,0,0
HID264043,Pursat,20000,12
HID264091,Prey Veng,1800,.55
HID264175,Kampot,2000,1.04
HID264177,Kandal,0,0
HID264179,Kampong Thom,50800,12.8
HID264307,Battambang,10000,5
HID264317,Kampong Speu,1200,1
HID264351,Stung Treng,0,0
HID264497,Kratie,1500,.7
HID264510,Svay Rieng,1000,.6
HID264525,Kampong Cham,1800,1
HID264890,Preah Vihear,1200,2
HID264911,Prey Veng,1980,.64
HID264919,Banteay Meanchey,0,0
HID264972,Kampong Cham,0,0
HID264992,Prey Veng,4500,.8
HID264994,Tboung Khmum,3850,.35
HID265062,Kep,300,.43
HID265168,Kandal,1850,.4
HID265169,Kep,0,0
HID265215,Tboung Khmum,420,.16
HID265227,Otdar Meanchey,3300,1.08
HID265228,Kampong Chhnang,850,.5
HID265405,Tboung Khmum,980,.3
HID265435,Pailin,0,0
HID265443,Kampong Speu,1500,.7
HID265645,Battambang,0,0
HID265670,Prey Veng,1500,.5
HID265764,Takeo,720,.34
HID265766,Svay Rieng,1100,.62
HID265842,Svay Rieng,5000,1.5
HID265949,Kandal,0,0
HID265957,Kampong Cham,24000,6.5
HID265983,Kampong Chhnang,36000,6
HID266010,Kampong Thom,0,0
HID266040,Kandal,0,0
HID266072,Kampong Cham,0,0
HID266099,Kandal,0,0
HID266175,Kampong Chhnang,500,.5600000000000001
HID266380,Tboung Khmum,400,.2
HID266403,Kampong Speu,260,.1
HID266407,Takeo,1700,.7
HID266430,Battambang,2000,1
HID266564,Siem Reap,3000,2.5
HID266730,Kampong Thom,250,.2
HID266802,Prey Veng,4500,2.5
HID266884,Siem Reap,1120,.8
HID266963,Pursat,4000,4
HID266996,Battambang,1000,.5
HID267032,Takeo,500,.3
HID267103,Takeo,2000,1
HID267198,Kampong Thom,0,0
HID267212,Kampot,0,0
HID267259,Kampong Cham,0,0
HID267260,Pursat,0,0
HID267268,Kandal,0,0
HID267509,Otdar Meanchey,1000,.58
HID267594,Prey Veng,1000,.47
HID267665,Prey Veng,11780,2.5
HID267701,Prey Veng,30000,6.71
HID267768,Kampong Cham,0,0
HID267793,Kampot,200,.38
HID267835,Prey Veng,0,0
HID267861,Kep,1320,.5
HID267874,Tboung Khmum,6000,1.5
HID267877,Kandal,4600,.5
HID267954,Battambang,21550,16.8
HID268010,Takeo,2000,.5
HID268393,Kampong Speu,3000,2
HID268557,Kampong Speu,1500,1
HID268617,Takeo,1500,.45
HID268626,Kampong Chhnang,1000,.5
HID268695,Tboung Khmum,560,.2
HID268705,Kratie,0,0
HID268722,Takeo,18000,2.3
HID268798,Ratanak Kiri,700,.3
HID268832,Koh Kong,2000,.9
HID268833,Svay Rieng,3000,.8
HID268898,Kampong Chhnang,2000,.5
HID268927,Kandal,2205,.25
HID268928,Preah Vihear,1600,.6
HID269074,Takeo,2500,.5
HID269160,Battambang,2340,.4
HID269185,Prey Veng,1050,1.3
HID269295,Battambang,3000,1
HID269334,Takeo,10000,1.5
HID269425,Siem Reap,0,0
HID269481,Kampong Speu,6000,2.31
HID269586,Battambang,7000,3
HID269594,Kampong Cham,2000,1.5
HID269645,Pursat,0,0
HID269739,Prey Veng,2000,.7
HID269777,Siem Reap,2600,1.06
HID269975,Kratie,750,.5
HID269985,Svay Rieng,450,.2
HID269992,Kampot,1250,.5
HID270139,Preah Sihanouk,0,0
HID270233,Otdar Meanchey,4000,4
HID270281,Banteay Meanchey,1000,1
HID270329,Pursat,2000,4
HID270546,Prey Veng,800,.5
HID270548,Kampong Chhnang,320,.044
HID270593,Prey Veng,5000,.6
HID270666,Kampong Speu,1200,1
HID270716,Banteay Meanchey,800,.98
HID270900,Takeo,16000,4
HID271046,Kandal,70000,12
HID271063,Phnom Penh,450,.7
HID271073,Battambang,70000,18
HID271141,Pursat,1400,.5
HID271234,Battambang,0,0
HID271276,Phnom Penh,0,0
HID271390,Battambang,3000,1
HID271525,Svay Rieng,3000,1.37
HID271638,Battambang,2400,.7
HID271781,Siem Reap,3000,2
HID271848,Battambang,4500,2.5
HID271905,Battambang,1000,1
HID272095,Takeo,650,.3
HID272121,Mondul Kiri,2500,1
HID272135,Battambang,0,0
HID272263,Ratanak Kiri,0,0
HID272319,Kep,1375,.5
HID272443,Pursat,1800,2
HID272773,Takeo,1500,.5
HID272825,Otdar Meanchey,0,0
HID272851,Kampong Speu,2500,.55
HID272864,Prey Veng,350,.3
HID272904,Preah Vihear,2500,2
HID273017,Kampong Speu,1200,.6
HID273047,Pursat,200,.1
HID273081,Kampong Chhnang,4700,2.06
HID273087,Battambang,0,0
HID273157,Kampong Speu,2500,.8
HID273195,Takeo,1500,.6
HID273240,Takeo,1000,.2
HID273327,Kampong Thom,0,0
HID273343,Svay Rieng,7000,6
HID273347,Svay Rieng,3300,2.2
HID273472,Preah Sihanouk,0,0
HID273766,Otdar Meanchey,0,0
HID273807,Pursat,0,0
HID273946,Pursat,2500,4
HID274254,Otdar Meanchey,0,0
HID274352,Kampong Chhnang,4000,2.5
HID274354,Svay Rieng,3840,1.8
HID274599,Kandal,0,0
HID274603,Koh Kong,0,0
HID274645,Kampong Cham,17000,6.5
HID274717,Kampong Cham,0,0
HID274777,Svay Rieng,1500,.39
HID274796,Kampong Thom,800,.3
HID274846,Prey Veng,1250,.5
HID274900,Kampong Chhnang,2500,.5
HID274909,Pursat,400,1
HID274956,Kampong Chhnang,300,.3
HID274998,Kampong Cham,20000,1.4
HID275053,Kampong Speu,4000,2.5
HID275108,Preah Vihear,0,0
HID275136,Kampong Speu,150,.2
HID275137,Prey Veng,750,.2
HID275138,Prey Veng,2000,.5
HID275197,Pursat,60,.01
HID275212,Siem Reap,0,0
HID275270,Kampong Speu,0,0
HID275273,Kampot,500,.2394
HID275306,Kampong Thom,0,0
HID275354,Siem Reap,1400,1.6
HID275489,Phnom Penh,2430,1.3
HID275769,Kampong Thom,0,0
HID275781,Stung Treng,0,0
HID276004,Pursat,15000,3
HID276112,Svay Rieng,495,.25
HID276130,Kampong Cham,2000,.5
HID276151,Kandal,0,0
HID276355,Kampong Speu,2000,.8
HID276476,Kampong Cham,0,0
HID276638,Kampong Cham,0,0
HID276724,Takeo,900,.5
HID276759,Siem Reap,0,0
HID276885,Kampong Thom,0,0
HID276897,Battambang,0,0
HID276916,Mondul Kiri,0,0
HID276960,Preah Vihear,900,.5
HID276983,Svay Rieng,0,0
HID277018,Pursat,0,0
HID277021,Pailin,0,0
HID277026,Stung Treng,7500,2
HID277058,Phnom Penh,225,.15
HID277191,Battambang,0,0
HID277195,Takeo,0,0
HID277240,Takeo,800,.37
HID277241,Siem Reap,8000,8
HID277247,Battambang,0,0
HID277275,Kampong Chhnang,3000,3
HID277529,Prey Veng,4000,.8
HID277660,Kampong Chhnang,4000,1
HID277821,Prey Veng,1500,.5
HID277849,Kampong Speu,300,.06
HID277992,Siem Reap,5000,1
HID278071,Tboung Khmum,0,0
HID278122,Kandal,200,.2
HID278142,Phnom Penh,120,.085
HID278172,Takeo,1000,.5
HID278276,Kampong Thom,800,1
HID278371,Siem Reap,4000,1.5
HID278373,Kampong Speu,1000,.41
HID278418,,0,0
HID278426,Prey Veng,3000,1.1
HID278471,Preah Vihear,750,1
HID278475,Kampong Thom,6000,3.2
HID278711,Otdar Meanchey,800,1
HID278776,Kampong Thom,1200,.3
HID278789,Stung Treng,0,0
HID278861,Battambang,0,0
HID278908,Tboung Khmum,15000,2.5
HID279021,Tboung Khmum,3000,.9
HID279052,Takeo,1200,.3
HID279056,Pursat,2000,1
HID279079,Battambang,1100,.5
HID279127,Kampot,1250,.6
HID279332,Siem Reap,13000,7
HID279401,Pursat,6000,3
HID279438,Takeo,14000,3.5
HID279512,Kandal,700,.2
HID279534,Kampong Speu,22500,9
HID279591,Kampong Cham,200,.3
HID279622,Kampot,750,.35
HID279722,Pursat,0,0
HID279875,Kandal,1690,.3
HID279897,Prey Veng,2800,1
HID279903,Kandal,0,0
HID279909,Takeo,900,.34
HID279911,Kampong Cham,1700,1
HID279948,Otdar Meanchey,0,0
HID280013,Kampong Speu,900,.15
HID280033,Kampong Chhnang,1775,1.5059
HID280109,Kampong Thom,3000,3
HID280121,Kandal,0,0
HID280138,Kampong Chhnang,2500,.994
HID280216,Kampong Cham,18000,4.7
HID280234,Battambang,3500,.96
HID280445,Kampong Speu,1850,.4
HID280497,Pursat,1500,2.08
HID280620,Kandal,0,0
HID280696,Siem Reap,1000,.5
HID280747,Pursat,0,0
HID280831,Battambang,0,0
HID280878,Kampong Thom,1500,1
HID280881,Takeo,4150,2.05
HID280949,Kampong Speu,800,.5
HID280999,Battambang,200,.16
HID281055,Takeo,1500,.5
HID281114,Takeo,0,0
HID281125,Battambang,500,4
HID281166,Preah Vihear,1400,2
HID281187,Siem Reap,500,.5
HID281243,Kampong Thom,6000,2.5
HID281269,Kampong Chhnang,2500,1.5
HID281287,Preah Vihear,3000,2
HID281393,Prey Veng,3000,.5
HID281479,Tboung Khmum,300,.3
HID281625,Banteay Meanchey,11000,3.5
HID281698,Kampong Speu,1200,.47
HID281724,Prey Veng,3500,2.8
HID281753,Siem Reap,1400,.86
HID281767,Banteay Meanchey,9000,3.9
HID281787,Kampong Speu,2000,.85
HID281802,Kampong Speu,350,.15
HID281865,Battambang,0,0
HID281911,Battambang,0,0
HID281953,Kampot,365,.245
HID281983,Kampong Cham,4320,.73
HID282119,Prey Veng,700,.5
HID282158,Battambang,500,2.5
HID282273,Takeo,4000,1
HID282512,Tboung Khmum,2000,1
HID282574,Koh Kong,0,0
HID282638,Banteay Meanchey,2500,1.32
HID282698,Svay Rieng,2250,.99
HID282732,Stung Treng,5000,2
HID282823,Battambang,3000,1.32
HID282931,Koh Kong,2000,1
HID282942,Tboung Khmum,800,.5
HID283091,Siem Reap,0,0
HID283226,Kampot,1100,.3
HID283403,Kampong Cham,2000,.5
HID283541,Kampong Chhnang,0,0
HID283549,Takeo,1300,.5
HID283623,Kampong Chhnang,2000,1
HID283641,Kampong Speu,850,.76
HID283715,Takeo,800,.3
HID283835,Pursat,3000,1.4
HID283840,Kampong Chhnang,14000,4
HID283855,Prey Veng,24750,5.5
HID283869,Otdar Meanchey,15000,4.5
HID283879,Prey Veng,1000,.35
HID283892,Siem Reap,700,.5
HID284161,Kratie,0,0
HID284287,Banteay Meanchey,1000,1.48
HID284297,Preah Vihear,9600,6
HID284488,Kampong Chhnang,1200,.9
HID284575,Kandal,0,0
HID284826,Prey Veng,1500,.5
HID284827,Tboung Khmum,0,0
HID284902,Siem Reap,3000,2
HID285020,Siem Reap,0,0
HID285053,Preah Sihanouk,0,0
HID285126,Kandal,1000,.7
HID285134,Prey Veng,14000,1.67
HID285144,Kampong Cham,1050,.25
HID285388,Kampong Cham,200,.05
HID285475,Battambang,1500,1
HID285480,Kampong Chhnang,1500,.5
HID285600,Battambang,10000,4.5
HID285630,Kampong Speu,2050,1.14
HID285664,Battambang,0,0
HID285695,Tboung Khmum,0,0
HID285731,Phnom Penh,0,0
HID285767,Kampong Chhnang,800,.5
HID285870,Takeo,3000,1.5
HID285978,Kampong Chhnang,300,1.5
HID286030,Stung Treng,0,0
HID286061,Kampong Chhnang,0,0
HID286103,Kampong Speu,1075,.43
HID286291,Kampong Cham,800,.33
HID286307,Prey Veng,6500,1.6
HID286348,Kampong Chhnang,850,.325
HID286369,Kampot,0,0
HID286427,Prey Veng,2000,.65
HID286452,Pursat,2800,.6
HID286533,Kandal,0,0
HID286541,Preah Vihear,1000,1
HID286629,Battambang,3500,1.32
HID286730,Siem Reap,0,0
HID286760,Kampot,0,0
HID286850,Takeo,22125,2.4
HID286918,Prey Veng,7395,1.8
HID286967,Kampong Cham,5000,3
HID287206,Battambang,0,0
HID287277,Siem Reap,0,0
HID287370,Battambang,6000,2
HID287421,Kampong Speu,3000,1
HID287501,Kampong Speu,1350,.47
HID287670,Preah Vihear,6000,3.5
HID287672,Svay Rieng,600,.25
HID287680,Prey Veng,2000,.79
HID287693,Svay Rieng,1530,.61
HID287759,Takeo,18000,1.5
HID287787,Otdar Meanchey,3100,3.5
HID287813,Kampong Thom,1000,.32
HID287814,Kampong Speu,500,.5
HID287911,Kampong Speu,2000,1
HID287944,Kampong Chhnang,2100,.67
HID287953,Svay Rieng,3066,1.99
HID288000,Kampong Speu,0,0
HID288027,Prey Veng,1500,.7
HID288156,Kampot,1600,.92
HID288245,Kandal,0,0
HID288258,Kandal,0,0
HID288305,Kampong Thom,6000,3
HID288598,Koh Kong,0,0
HID288665,Ratanak Kiri,0,0
HID288715,Kampong Chhnang,750,.3725
HID288745,Takeo,0,0
HID288771,Kampong Thom,0,0
HID288824,Pailin,0,0
HID288924,Kampong Cham,0,0
HID288930,Prey Veng,0,0
HID289031,Kampot,640,.4
HID289052,Pursat,15000,2.4
HID289151,Kampong Cham,0,0
HID289156,Kampot,1050,1
HID289189,Svay Rieng,600,.4
HID289199,Tboung Khmum,4900,2
HID289297,Phnom Penh,0,0
HID289311,Battambang,0,0
HID289390,Kampong Cham,1480,1.3
HID289402,Kampong Speu,100,.1
HID289490,Prey Veng,2500,.67
HID289605,Battambang,24000,5.94
HID289730,Kampong Chhnang,6000,1
HID290334,Siem Reap,0,0
HID290382,Takeo,700,.4
HID290407,Battambang,10000,4.7
HID290589,Kampong Cham,1500,.5
HID290624,Kampong Thom,2500,1.5
HID290789,Preah Sihanouk,800,.6
HID290851,Prey Veng,1200,.5
HID290930,Takeo,1500,.75
HID290972,Kampong Cham,3000,1.4
HID290986,Otdar Meanchey,300,.5
HID291032,Battambang,950,1.6
HID291047,Siem Reap,1750,1
HID291323,Kampong Speu,3800,2.5
HID291367,Pailin,0,0
HID291379,Takeo,4000,1
HID291465,Kandal,0,0
HID291519,Kampong Cham,1200,.24
HID291629,Phnom Penh,0,0
HID291719,Preah Vihear,3600,4
HID291728,Takeo,250,.05
HID291734,Tboung Khmum,3400,1.35
HID292174,Koh Kong,300,.3
HID292219,Kratie,0,0
HID292408,Banteay Meanchey,0,0
HID292483,Banteay Meanchey,5500,1.76
HID292593,Kampong Thom,0,0
HID292631,Kandal,0,0
HID292730,Mondul Kiri,0,0
HID292762,Prey Veng,600,.27
HID292854,Prey Veng,650,.41
HID292856,Kep,0,0
HID293097,Banteay Meanchey,1000,.47
HID293128,Battambang,0,0
HID293139,Takeo,600,.27
HID293162,Kampong Thom,18000,6
HID293287,Banteay Meanchey,12500,6
HID293310,Pursat,0,0
HID293316,Tboung Khmum,910,.4
HID293388,Banteay Meanchey,4500,2
HID293572,Kampong Cham,0,0
HID293613,Prey Veng,2240,1
HID293726,Prey Veng,1400,1
HID293749,Kampong Speu,1500,.45
HID293801,Kampong Thom,0,0
HID293994,Siem Reap,1000,.5
HID294194,Kampong Speu,550,.25
HID294229,Siem Reap,6000,1.1
HID294263,Preah Sihanouk,0,0
HID294271,Battambang,14000,9.460000000000001
HID294286,Prey Veng,3800,1.15
HID294329,Pursat,0,0
HID294376,Battambang,0,0
HID294414,Pursat,2000,2
HID294424,Preah Vihear,2000,2.8
HID294441,Siem Reap,3500,2
HID294466,Pursat,0,0
HID294468,Battambang,0,0
HID294477,Prey Veng,2500,1
HID294599,Banteay Meanchey,5000,2
HID294736,Prey Veng,7000,.8
HID294869,Takeo,1500,.6
HID295203,Takeo,500,.12
HID295239,Tboung Khmum,3700,.78
HID295368,Kampot,1300,.9
HID295461,Svay Rieng,1400,.5
HID295612,Kampong Speu,2000,.59
HID295716,Kandal,2400,.6
HID295982,Kampot,0,0
HID296026,Tboung Khmum,1000,.7
HID296132,Kratie,1250,.5
HID296245,Tboung Khmum,6000,1.1
HID296250,Kampong Speu,4000,2
HID296268,Takeo,1200,.4
HID296272,Kampong Speu,4400,1.25
HID296396,Prey Veng,4000,3.05
HID296401,Kandal,0,0
HID296554,Kampong Thom,4500,1.65
HID296606,Kampong Cham,0,0
HID296619,Mondul Kiri,700,.3
HID296620,Phnom Penh,0,0
HID296797,Kampong Speu,1800,.48
HID296801,Siem Reap,0,0
HID296965,Phnom Penh,500,.14
HID297007,Banteay Meanchey,12000,18
HID297016,Kampong Speu,0,0
HID297084,Battambang,0,0
HID297196,Banteay Meanchey,0,0
HID297233,Kampong Speu,0,0
HID297262,Tboung Khmum,6000,2.5
HID297315,Takeo,30700,4.4
HID297459,Svay Rieng,1950,.55
HID297491,Kampong Thom,500,.179
HID297590,Prey Veng,6000,1.15
HID297616,Prey Veng,6000,2.1
HID297668,Kampong Thom,500,.5
HID297764,Kampong Cham,6500,2.4
HID297775,Battambang,1500,.5
HID298011,Siem Reap,0,0
HID298026,Tboung Khmum,0,0
HID298043,Pursat,1500,.7
HID298160,Kampot,0,0
HID298171,Kratie,0,0
HID298191,Phnom Penh,135,.22
HID298237,Svay Rieng,42000,3.5
HID298335,Kampong Speu,2000,1
HID298440,Prey Veng,0,0
HID298456,Kandal,0,0
HID298502,Kampot,0,0
HID298584,Kampot,1000,.3
HID298619,Kampong Speu,500,.25
HID298732,Svay Rieng,10000,3.9
HID298929,Kampong Cham,1200,.21
HID298985,Kampong Cham,500,.45
HID299009,Svay Rieng,7000,3.49
HID299047,Banteay Meanchey,1000,.64
HID299113,Kandal,2500,.7
HID299135,Banteay Meanchey,0,0
HID299278,Siem Reap,2500,3
HID299302,Kep,0,0
HID299417,Takeo,4000,2
HID299485,Prey Veng,0,0
HID299613,Kampong Cham,0,0
HID299670,Prey Veng,3000,1.7
HID299706,Kampong Speu,390,.15
HID299768,Prey Veng,900,.3
HID299865,Prey Veng,0,0
HID299884,Siem Reap,500,.5
HID300156,Battambang,4000,5.3
HID300399,Pursat,10000,5
HID300533,Prey Veng,1400,.72
HID300656,Pursat,25000,5
HID300669,Kampong Cham,0,0
HID300722,Kratie,1000,.7
HID300856,Tboung Khmum,200,.12
HID301052,Kampong Cham,12150,1.534
HID301082,Siem Reap,4000,3
HID301239,Prey Veng,1400,1.14
HID301382,Kandal,0,0
HID301447,Kampot,2800,.9
HID301525,Siem Reap,2500,1.5
HID301529,Otdar Meanchey,0,0
HID301561,Kandal,1400,1.07
HID301614,Phnom Penh,0,0
HID301868,Kampot,0,0
HID301989,Kampong Cham,0,0
HID302025,Kandal,0,0
HID302038,Takeo,0,0
HID302062,Kampong Cham,300,.07
HID302101,Kandal,500,.2
HID302259,Preah Vihear,1500,1
HID302482,Battambang,0,0
HID302619,Tboung Khmum,0,0
HID302688,Kampong Cham,3200,1.4
HID303043,,0,0
HID303098,Siem Reap,450,.5
HID303104,Pursat,0,0
HID303162,Takeo,2000,.75
HID303244,Preah Vihear,1100,2.5
HID303309,Banteay Meanchey,100,.9
HID303366,Tboung Khmum,0,0
HID303391,Kampong Speu,900,.375
HID303403,Kampong Speu,2800,.75
HID303505,,2000,2
HID303629,Banteay Meanchey,0,0
HID303641,Kandal,0,0
HID303655,Mondul Kiri,0,0
HID303678,Kampong Thom,7000,5
HID303689,Tboung Khmum,4000,1
HID303756,Stung Treng,0,0
HID303762,Siem Reap,0,0
HID303777,Svay Rieng,1600,.57
HID303804,Kampong Thom,0,0
HID303889,Takeo,3100,1
HID304185,Kampot,10000,1.5
HID304240,Kampong Chhnang,8000,2
HID304351,Takeo,900,.4
HID304398,Kratie,5500,5
HID304447,Prey Veng,3000,1.5
HID304454,Kandal,0,0
HID304469,Kampong Chhnang,0,0
HID304512,Siem Reap,1500,1
HID304530,Preah Vihear,600,.5
HID304579,Tboung Khmum,2200,1.3
HID304599,Kep,450,.2
HID304600,Svay Rieng,300,.21
HID304664,Otdar Meanchey,4900,2.5
HID304763,Battambang,8000,4
HID304802,Siem Reap,3300,5
HID304920,Kandal,1700,.5
HID305081,Kampong Chhnang,1350,.73
HID305191,Prey Veng,24000,3
HID305357,Prey Veng,800,.5
HID305472,Banteay Meanchey,11000,7
HID305483,Battambang,10000,3.7
HID305487,Siem Reap,10000,6
HID305587,Mondul Kiri,700,1
HID305673,Svay Rieng,910,.35
HID305719,Kampong Cham,4000,.7
HID305745,Takeo,1760,.43
HID305775,Pursat,1200,.5
HID305793,Ratanak Kiri,910,1.5
HID305930,Siem Reap,4200,1.266
HID305931,Kampong Speu,1200,.67
HID306039,Kampot,3610,1.5
HID306048,Kampong Chhnang,1200,.65
HID306226,Otdar Meanchey,7700,6.18
HID306236,Prey Veng,1320,.47
HID306422,Prey Veng,5400,3.46
HID306446,Kampong Speu,2000,1.66
HID306484,Tboung Khmum,6000,1.5
HID306621,Svay Rieng,3300,1.5
HID306750,Takeo,2000,.5
HID306816,Kandal,2710,.5
HID306893,Kampot,150,.105
HID306941,,0,0
HID307040,Kampot,3190,.88
HID307051,Kampong Chhnang,600,.24
HID307132,Prey Veng,1500,1
HID307145,Svay Rieng,2200,1.1
HID307224,Takeo,5000,1
HID307307,Prey Veng,9000,2.3
HID307379,Pailin,0,0
HID307421,Kampong Thom,3030,3.3
HID307442,Prey Veng,1150,.6
HID307470,Kratie,0,0
HID307559,Svay Rieng,60000,6
HID307562,Tboung Khmum,0,0
HID307576,Svay Rieng,0,0
HID307758,Kampong Speu,650,.15
HID307835,,1500,1.5
HID308054,Stung Treng,1500,.5
HID308148,Kampong Thom,2000,1
HID308169,Battambang,10000,9
HID308217,Ratanak Kiri,750,1
HID308418,Otdar Meanchey,3000,4
HID308588,Kampong Speu,3500,1.7
HID308646,Prey Veng,7000,1
HID308733,Kampong Chhnang,3000,.7
HID308746,Kampong Thom,0,0
HID308764,Kandal,0,0
HID308792,Kandal,0,0
HID308793,Takeo,3000,.7
HID308813,Pursat,2000,2.05
HID308879,Svay Rieng,20000,2.5
HID308920,Kampong Cham,0,0
HID309020,Svay Rieng,1200,.63
HID309046,Battambang,0,0
HID309095,Takeo,4700,1.6
HID309103,Kampong Cham,480,.3
HID309150,Kratie,770,.14
HID309211,Preah Sihanouk,1500,.5
HID309230,Kampong Speu,3000,1.5
HID309306,Battambang,2000,11
HID309474,Kratie,1750,1
HID309811,Kampong Thom,0,0
HID309887,Tboung Khmum,0,0
HID309941,Kandal,0,0
HID310044,Svay Rieng,2800,2.06
HID310222,Kampong Thom,0,0
HID310250,Kampot,400,.1
HID310425,Kampong Thom,0,0
HID310441,Banteay Meanchey,10000,1.8
HID310494,Kampong Thom,7000,4.6
HID310672,Kampong Thom,700,.6
HID310949,Takeo,1000,.5
HID310980,Siem Reap,1890,1.5
HID311015,Kampong Cham,4000,.65
HID311054,Battambang,7000,4.5
HID311112,Siem Reap,4000,4
HID311360,Pursat,0,0
HID311409,Battambang,17000,4
HID311756,Prey Veng,2400,.6
HID311775,Kampong Speu,1500,1
HID311831,Banteay Meanchey,0,0
HID311917,Kep,1500,.51
HID311999,Kampot,520,.57
HID312008,Takeo,1000,.6
HID312125,Prey Veng,2000,.5
HID312143,Takeo,1500,.4
HID312320,Siem Reap,1200,1
HID312637,Stung Treng,1160,.5
HID312742,Otdar Meanchey,1700,2.42
HID312903,Tboung Khmum,2000,1.2
HID313000,Kandal,0,0
HID313044,Svay Rieng,375,.1
HID313056,Kampong Thom,550,.47
HID313072,Kampong Cham,0,0
HID313085,Tboung Khmum,0,0
HID313123,Kampong Speu,780,.2
HID313268,Kampot,0,0
HID313439,Kampong Cham,0,0
HID313468,Tboung Khmum,3000,1
HID313508,Siem Reap,1000,1
HID313522,Kampong Thom,500,1.2
HID313605,Kampot,2000,1.138
HID313614,Takeo,5700,1.13
HID313659,Kandal,2200,.7
HID313762,Kampot,550,.27
HID313827,Pursat,0,0
HID313844,Prey Veng,12000,3.05
HID314049,Otdar Meanchey,7500,3.5
HID314066,Battambang,7000,2
HID314142,Kampong Chhnang,75,.0999
HID314302,Tboung Khmum,3500,1.4
HID314436,Kratie,0,0
HID314453,Prey Veng,0,0
HID314459,Prey Veng,1200,1
HID314564,Phnom Penh,0,0
HID314636,Kampot,1800,.5600000000000001
HID314650,Kampong Thom,1000,.3
HID314688,Kampong Thom,240,.5
HID314895,Kandal,0,0
HID314921,Battambang,0,0
HID314925,Prey Veng,0,0
HID314965,Preah Vihear,2000,1
HID314980,Battambang,10000,8
HID315106,Kampong Chhnang,700,.48
HID315121,Siem Reap,750,.5
HID315166,Kandal,0,0
HID315250,Kandal,0,0
HID315266,Kep,0,0
HID315367,Kampong Cham,0,0
HID315530,Tboung Khmum,1500,.5
HID315535,Preah Sihanouk,0,0
HID315643,Phnom Penh,0,0
HID315677,Preah Vihear,1750,1
HID315802,Pursat,1000,1
HID315846,Preah Vihear,2500,1
HID316024,Siem Reap,1500,.8
HID316227,Prey Veng,4000,.3
HID316375,Kampong Cham,1500,.35
