hhid,province,raised_Poultry,raised_cattle_buffalo,raised_Livestock,raised_Livestock_Poultry,ag_hh_homelot,ag_area_homelot,ag_hh_parcel,ag_area_parcel,ag_hh,ag_area,zone,fhh,edu_hh,edu_hh_head,covid_shock,ag_comm,ag_assoc,ag_comm_assoc,animal_area,animal_ded_area,homelot_area,parcel_area,holding_area,animal_area_rate,rice,rice_harv_sold_pct,sold_rice,rice_area_agland_pct,rice_area_total_pct,rice_price_impt,value_rice_prod,rice_price,cashew,area_cashew_harvested,area_cashew_planted,qty_cashew_harvested,qty_cashew_own_use,qty_cashew_sale,qty_cashew_gift,qty_cashew_pay,qty_cashew_feed,qty_cashew_seed,qty_cashew_lost,qty_cashew_processed,cashew_harv_sold_pct,sold_cashew,cashew_area_agland_pct,cashew_area_total_pct,cashew_price_impt,value_cashew_prod,cashew_price,animal_disease,irrigation,drought,flood,ag_extension_training,family_hours,family_full_days,family_work_days
HID101147,25,0,1,1,1,1,.045,1,3,1,3.0450001,Plain,0,2,1,0,0,0,0,,0,.045,3,3.0450001,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,5850,731.25,750
HID101152,1,1,0,0,1,1,.2108,1,13,1,13.2108,Tonle Sap,1,2,0,0,0,0,0,.0006000000284985,1,.2108,13,13.2108,.000045417386,1,.625,1,.60556513,.60556513,0,14720000,920,0,,,,,,,,,,,,,,,,0,,,0,0,0,1,0,4380,547.5,660
HID101200,21,1,1,1,1,1,.06,1,1.8,1,1.86,Plain,0,2,2,0,0,0,0,,0,.06,1.80000002682209,1.86,,1,.75,1,.96774191,.96774191,0,3600000,900,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,864,108,252
HID101213,21,1,0,0,1,1,.009,0,0,1,.0089999996,Plain,1,1,1,0,0,0,0,.0015000000130385,1,.009,,.0089999996,.16666667,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,1,0,0,384,48,384
HID101260,20,1,0,0,1,1,.0455,1,.4,1,.44549999,Plain,0,2,2,0,0,0,0,.0049999998882413,1,.0455,.4000000059604645,.44550002,.011223344,1,0,0,.89786762,.89786756,1,820000,820,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,1080,135,1080
HID101448,7,,,,,1,.07,1,.35,1,.41999999,Coastal,0,2,1,0,0,0,0,,0,.07,.3500000089406967,.42000002,,1,0,0,.83333337,.83333331,1,900000,1000,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,1440,180,360
HID101498,8,,,,,0,0,1,.73,1,.73000002,Plain,1,2,0,0,0,0,0,,0,.025,.7300000190734863,.755,,1,0,0,1,.96688747,1,1160000,800,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,1710,213.75,390
HID101619,17,,,,,1,.042,1,.0179999992251396,1,.059999999,Tonle Sap,0,2,1,0,0,0,0,,0,.042,.0179999992251396,.059999999,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,720,90,180
HID101624,17,1,1,1,1,1,.05,1,2.899999976158142,1,2.95,Tonle Sap,0,1,1,0,0,0,0,.0020000000949949,1,.05,2.899999976158142,2.95,.00067796611,1,.5,1,.98305088,.98305088,0,3600000,900,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,2445,305.625,615
HID101636,4,1,1,1,1,0,0,1,.5,1,.5,Tonle Sap,0,2,2,0,0,0,0,,0,.018,.5,.51800001,,1,0,0,1,.96525097,1,2700000,900,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,585,73.125,120
HID101703,1,,,,,1,.011,0,0,1,.011,Tonle Sap,1,2,0,0,0,0,0,,0,.011,,.011,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,112,14,112
HID101774,14,1,1,1,1,1,.09,1,1.509999987408519,1,1.6,Plain,0,1,1,0,0,0,0,.0020000000949949,1,.09,1.510000007227063,1.6,.0012500001,1,.33333334,1,.94374996,.94374996,0,2400000,800,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,2880,360,720
HID101937,3,0,1,1,1,0,0,1,.3,1,.30000001,Plain,0,2,2,1,0,0,0,,0,.0144,.300000011920929,.31440002,,1,0,0,1,.95419848,1,1640000,820,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,2304,288,384
HID102011,16,0,0,1,1,1,.054,1,10,1,10.054,Mountain,0,2,,1,0,0,0,,0,.054,10,10.054,,0,,,,,0,,,1,5,5,10000,0,10000,0,0,0,0,0,0,1,1,.49731451,.49731451,0,45000000,4500,0,0,0,0,0,630,78.75,70
HID102100,20,1,1,1,1,1,.08,1,.5,1,.57999998,Plain,0,2,1,0,0,0,0,.0149999996647239,1,.08,.5,.57999998,.02586207,1,0,0,.86206901,.86206901,1,574000,820,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,2880,360,720
HID102181,14,1,1,1,1,1,.05,1,1.1,1,1.15,Plain,1,2,1,0,0,0,0,.0020000000949949,1,.05,1.100000023841858,1.15,.0017391306,1,.66666669,1,.95652181,.95652181,0,6300000,840,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,1070,133.75,240
HID102229,22,1,0,0,1,1,.09,1,2,1,2.0899999,Tonle Sap,0,1,1,1,0,0,0,,0,.09,2,2.0899999,,1,0,0,.95693785,.95693785,1,2700000,900,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,690,86.25,90
HID102441,3,1,0,0,1,1,.0216,1,7,1,7.0215998,Plain,0,1,1,0,0,0,0,.0015000000130385,1,.0216,7,7.0215998,.00021362654,0,,,,,0,,,1,,,5000,0,5000,0,0,0,0,0,0,1,1,,,0,20000000,4000,0,0,0,0,0,1240,155,260
HID102496,7,1,1,1,1,1,.05,1,.6699999999999999,1,.72000003,Coastal,0,2,1,0,0,0,0,.0010000000474975,1,.05,.6700000166893005,.72000003,.0013888889,1,0,0,.91666669,.91666669,1,1050000,1000,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,60,7.5,60
HID102501,4,,,,,1,.072,0,0,1,.071999997,Tonle Sap,1,1,1,0,0,0,0,,0,.072,,.071999997,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,120,15,120
HID102562,8,1,0,0,1,1,.09,0,0,1,.090000004,Plain,0,2,0,0,0,0,0,.0099999997764826,1,.09,,.090000004,.1111111,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,4296,537,764
HID102623,17,,,,,0,0,1,.699999988079071,1,.69999999,Tonle Sap,0,2,2,0,0,0,0,,0,.07,.699999988079071,.76999998,,1,0,0,1,.90909094,1,450000,900,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,1,210,26.25,80
HID102723,21,,,,,0,0,1,.5,1,.5,Plain,1,3,1,0,0,0,0,,0,.045,.5,.54500002,,1,0,0,1,.91743118,1,680000,850,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,916,114.5,218
HID102779,17,1,0,1,1,1,.04,1,1.699999988079071,1,1.74,Tonle Sap,0,1,0,0,0,0,0,,0,.04,1.699999988079071,1.74,,1,0,0,.28735632,.28735632,1,450000,900,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,2700,337.5,500
HID102839,8,0,1,1,1,1,.15,1,1.2,1,1.35,Plain,1,2,1,0,0,0,0,.003000000026077,1,.15,1.200000047683716,1.35,.0022222223,1,.90909094,1,.8888889,.8888889,0,9460000,860,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,3960,495,900
HID102877,1,1,1,1,1,1,.02,1,4.07999997138977,1,4.0999999,Tonle Sap,1,2,2,1,0,0,0,.0006000000284985,1,.02,4.079999983310699,4.0999999,.00014634148,1,.75,1,.80000001,.80000001,0,3200000,800,0,,,,,,,,,,,,,,,,0,,,0,1,0,1,0,1440,180,180
HID102931,3,0,1,1,1,1,.0325,1,1.2,1,1.2325,Plain,0,2,1,1,0,0,0,.0006000000284985,1,.0325,1.200000047683716,1.2325001,.00048681541,1,0,0,.97363091,.97363079,1,1640000,820,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,1800,225,540
HID103006,22,1,0,0,1,1,.126,1,3,1,3.1259999,Tonle Sap,1,1,0,0,0,0,0,.0010000000474975,1,.126,3,3.1259999,.00031989766,1,0,0,.31989765,.31989765,1,1350000,900,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,420,52.5,70
HID103057,14,1,0,0,1,1,.1184,1,.8,1,.91839999,Plain,0,2,1,0,0,0,0,,0,.1184,.800000011920929,.91839999,,1,0,0,.87108016,.87108016,1,2550000,850,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,395,49.375,275
HID103063,7,,,,,1,.49,0,0,1,.49000001,Coastal,0,1,1,0,0,0,0,.0006000000284985,1,.49,.5,.99000001,.00060606061,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,20,2.5,10
HID103066,5,1,0,0,1,1,.12,1,.3,1,.41999999,Mountain,1,1,1,0,0,0,0,.0010000000474975,1,.12,.3000000044703484,.42000002,.0023809525,1,0,0,.71428579,.71428573,1,600000,1000,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,576,72,144
HID103069,2,,,,,1,.12,0,0,1,.12,Tonle Sap,1,1,0,0,0,0,0,,0,.12,,.12,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,1,1,0,0,3360,420,660
HID103130,14,,,,,1,.04,1,2,1,2.04,Plain,0,2,2,0,0,0,0,,0,.04,2,2.04,,1,.5,1,.98039216,.98039216,0,4000000,1000,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,980,122.5,215
HID103140,18,1,0,0,1,1,.108,0,0,1,.108,Coastal,0,2,,0,0,0,0,.0719999969005585,1,.108,,.108,.66666663,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,900,112.5,600
HID103196,13,1,0,0,1,1,.17,1,7,1,7.1700001,Mountain,0,1,0,0,0,0,0,.0500000007450581,1,.2,7,7.1999998,.006944445,1,.66666669,1,.55788004,.55555558,0,5100000,850,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,1280,160,200
HID103225,21,1,1,1,1,1,.03,1,.9999999940395355,1,1.03,Plain,0,1,1,0,0,0,0,.0020000000949949,1,.03,1.000000007450581,1.03,.0019417477,1,.47619048,1,.97087383,.97087383,0,5355000,850,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,960,120,240
HID103340,1,0,1,1,1,0,0,1,3.159999996423721,1,3.1600001,Tonle Sap,0,2,0,0,0,0,0,,0,.12,3.159999996423721,3.28,,1,.66666669,1,.94936705,.91463417,0,2745000,915,0,,,,,,,,,,,,,,,,0,,,0,0,0,1,0,1440,180,180
HID103410,11,1,0,0,1,0,0,1,2,1,2,Mountain,1,1,0,0,0,0,0,,0,.03,2,2.03,,0,,,,,0,,,1,2,2,0,,,,,,,,,,,1,.98522168,0,,,0,0,0,0,0,2688,336,336
