hhid,province,area_rice_harvested,area_rice_planted,qty_rice_harvested,qty_rice_own_use,qty_rice_sale,qty_rice_gift,qty_rice_pay,qty_rice_feed,qty_rice_seed,qty_rice_lost,qty_rice_processed
HID571145,Battambang,4,4,10000,1500,8500,0,0,0,0,0,0
HID571284,Kampong Thom,.5,.5,0,0,0,0,0,0,0,0,0
HID571301,Kampong Speu,3.5,3.5,2800,2500,300,0,0,0,0,0,0
HID571366,Kampong Thom,1,1,0,0,0,0,0,0,0,0,0
HID571590,Kampong Speu,.300000011920929,.300000011920929,0,0,0,0,0,0,0,0,0
HID571664,Kratie,0,0,0,,,,,,,,
HID571828,Preah Vihear,2,2,0,0,0,0,0,0,0,0,0
HID571846,Siem Reap,2,2,3000,1000,2000,0,0,0,0,0,0
HID571852,Prey Veng,.699999988079071,.699999988079071,1000,700,150,0,0,0,150,0,0
HID572051,Kampong Cham,.699999988079071,.699999988079071,0,0,0,0,0,0,0,0,0
HID572275,Prey Veng,.449999988079071,.449999988079071,0,0,0,0,0,0,0,0,0
HID572320,Prey Veng,1.200000047683716,1.200000047683716,12700,1700,10500,0,0,0,500,0,0
HID572508,Stung Treng,0,0,0,,,,,,,,
HID572541,Kampong Thom,.699999988079071,.699999988079071,0,0,0,0,0,0,0,0,0
HID572545,Kep,0,0,0,,,,,,,,
HID572570,Battambang,1.120000004768372,1.120000004768372,0,0,0,0,0,0,0,0,0
HID572600,Svay Rieng,.699999988079071,.699999988079071,0,0,0,0,0,0,0,0,0
HID572678,Mondul Kiri,3,3,3000,1300,1400,0,0,0,300,0,0
HID572680,Kandal,0,0,0,,,,,,,,
HID572751,Kampong Cham,.135000005364418,.135000005364418,1200,200,1000,0,0,0,0,0,0
HID572867,Kampong Speu,.0949999988079071,.0949999988079071,0,0,0,0,0,0,0,0,0
HID572869,Kampong Cham,3,3,8500,1500,6000,0,0,0,1000,0,0
HID572904,Kratie,.300000011920929,.300000011920929,0,0,0,0,0,0,0,0,0
HID573041,Preah Vihear,0,0,0,,,,,,,,
HID573100,Banteay Meanchey,0,0,0,,,,,,,,
HID573154,Prey Veng,1,1,0,0,0,0,0,0,0,0,0
HID573170,Prey Veng,3.700000047683716,3.700000047683716,9000,1500,7500,0,0,0,0,0,0
HID573189,Kandal,0,0,0,,,,,,,,
HID573417,Prey Veng,1.100000023841858,1.100000023841858,4000,1000,3000,0,0,0,0,0,0
