hhid,province,area_rice_harvested,area_rice_planted,qty_rice_harvested,qty_rice_own_use,qty_rice_sale,qty_rice_gift,qty_rice_pay,qty_rice_feed,qty_rice_seed,qty_rice_lost,qty_rice_processed
HID889489,8,0,0,0,,,,,,,,
HID889497,18,0,0,0,,,,,,,,
HID889522,9,.5,.5,0,0,0,0,0,0,0,0,0
HID889626,5,1.529999971389771,1.529999971389771,2500,1500,1000,0,0,0,0,0,0
HID889835,2,0,0,0,,,,,,,,
HID889869,8,.4000000059604645,.4000000059604645,3000,500,2000,0,300,20,180,0,0
HID889941,21,.699999988079071,.699999988079071,0,0,0,0,0,0,0,0,0
HID889962,8,0,0,0,,,,,,,,
HID890021,23,.5099999904632568,.5099999904632568,0,0,0,0,0,0,0,0,0
HID890033,20,2,2,5000,3000,2000,0,0,0,0,0,0
HID890088,3,.949999988079071,.949999988079071,0,0,0,0,0,0,0,0,0
HID890337,8,0,0,0,,,,,,,,
HID890404,14,4,4,24000,2000,22000,0,0,0,0,0,0
HID890428,3,.2000000029802322,.2000000029802322,800,500,300,0,0,0,0,0,0
HID890521,7,1.320000052452087,1.320000052452087,600,600,0,0,0,0,0,0,0
HID890577,4,1.5,1.5,3000,2000,1000,0,0,0,0,0,0
HID890629,1,.8500000238418579,.8500000238418579,5500,1000,4000,0,0,0,500,0,0
HID890692,1,0,0,0,,,,,,,,
HID890776,5,.4000000059604645,.4000000059604645,0,0,0,0,0,0,0,0,0
HID891092,6,0,0,0,,,,,,,,
HID891140,17,1,1,1500,500,1000,0,0,0,0,0,0
HID891274,8,2,2,18900,1000,17000,0,300,0,600,0,0
HID891373,7,.3600000143051147,.3600000143051147,0,0,0,0,0,0,0,0,0
HID891445,14,.75,.75,4390,2300,1500,0,0,60,500,30,0
HID891635,17,1.5,1.5,2000,1000,1000,0,0,0,0,0,0
HID891989,4,.0549999997019768,.0549999997019768,450,250,200,0,0,0,0,0,0
HID892058,14,1,1,6000,1000,5000,0,0,0,0,0,0
HID892110,3,.25,.25,0,0,0,0,0,0,0,0,0
HID892138,21,1.700000047683716,1.700000047683716,63000,2000,57920,0,0,80,3000,0,0
HID892204,2,2.400000095367432,2.400000095367432,3000,1200,1500,0,0,0,300,0,0
HID892242,25,.3799999952316284,.3799999952316284,0,0,0,0,0,0,0,0,0
HID892307,4,1.5,1.5,4000,2000,2000,0,0,0,0,0,0
HID892344,5,.4000000059604645,.4000000059604645,0,0,0,0,0,0,0,0,0
HID892503,2,2.5,2.5,7000,1500,5500,0,0,0,0,0,0
HID892531,3,0,0,0,,,,,,,,
HID892579,4,.3499999940395355,.3499999940395355,0,0,0,0,0,0,0,0,0
HID892592,5,.300000011920929,.300000011920929,0,0,0,0,0,0,0,0,0
HID892675,3,0,0,0,,,,,,,,
HID892867,3,0,0,0,,,,,,,,
HID892911,12,0,0,0,,,,,,,,
HID892988,1,6,6,10000,1000,7500,0,0,0,1500,0,0
HID893094,25,2,2,5000,2000,3000,0,0,0,0,0,0
HID893116,5,1,1,2760,1500,1000,0,100,10,50,0,100
HID893149,7,0,0,0,,,,,,,,
HID893202,5,.25,.25,0,0,0,0,0,0,0,0,0
HID893271,8,0,0,0,,,,,,,,
HID893278,2,0,0,0,,,,,,,,
HID893342,9,1.5,1.5,0,0,0,0,0,0,0,0,0
HID893634,20,3,3,11000,1000,10000,0,0,0,0,0,0
HID893824,2,0,0,0,,,,,,,,
HID893931,7,.3600000143051147,.3600000143051147,0,0,0,0,0,0,0,0,0
HID894051,17,2.5,2.5,3000,1000,2000,0,0,0,0,0,0
HID894065,15,0,0,0,,,,,,,,
HID894151,17,0,0,0,,,,,,,,
HID894185,2,0,0,0,,,,,,,,
HID894208,14,.75,.75,4000,1000,3000,0,0,0,0,0,0
