hhid,weight,province
HID100224,170.260098996154,21
HID100368,36.0854112455925,8
HID100532,67.2209861254816,21
HID100543,308.370182312982,22
HID100682,47.9769670691174,9
HID100967,29.3702156390264,14
HID101054,136.136547329837,3
HID101094,236.36597860688,13
HID101229,183.555231597254,4
HID101249,173.232135803738,14
HID101429,33.6230445230251,25
HID101461,212.825885032904,7
HID101580,49.092741535515,20
HID101639,117.336913664076,1
HID101666,27.4431079901459,25
HID101774,173.362795519052,19
HID101853,20.8782727152829,5
HID101901,199.819962973598,4
HID101937,25.3503242142841,25
HID102093,53.5226326415698,1
HID102185,141.017420848742,22
HID102269,68.098621405269,25
HID102336,205.205716216627,14
HID102342,31.7968518898988,13
HID102398,232.572821935822,4
HID102464,119.21448573272,6
HID102469,130.18890917964,14
HID102510,302.531767793899,16
HID102658,173.075645730317,7
HID102760,120.531929816541,1
HID102780,219.678984297106,25
HID102869,43.4806581363119,8
HID102900,165.499331967945,3
HID102936,127.899654657133,14
HID103054,43.1823703407395,2
HID103069,135.80680477974,3
HID103072,122.492572868228,6
HID103155,113.670595925804,5
HID103168,318.632747750347,17
HID103193,143.648684221016,10
HID103228,109.530395876755,6
HID103377,40.4118567230898,1
HID103410,26.5686298270224,7
HID103456,39.7134997447232,16
HID103520,53.5226326415698,1
HID103658,111.826703402707,14
HID103695,31.0827934453669,11
HID103705,127.508584061211,17
HID103754,129.11051985447,4
HID103871,194.071749070342,5
HID103888,33.0341921930608,10
HID104066,251.187664821125,7
HID104070,153.352861161688,17
HID104134,134.720359216854,14
HID104161,36.7914967933037,2
HID104427,163.053360903834,14
HID104460,527.219526945053,25
HID104658,114.371714306093,10
HID104683,141.017420848742,22
HID104701,278.408789667548,14
HID104736,265.522946587909,1
HID104757,165.158228441633,21
HID104838,134.151511228373,21
HID104888,97.3567474558766,17
HID104976,33.0341921930608,10
HID105088,88.35305407778969,5
HID105223,53.2575783017309,12
HID105238,56.0442157226641,10
HID105463,19.2258338542248,8
HID105512,42.0230182953584,10
HID105522,146.134133200058,21
HID105558,332.516098278753,13
HID105581,150.072422394868,8
HID105651,142.394119408774,14
HID105671,178.731568716674,14
HID105856,146.555990336156,7
HID106028,165.058314131436,21
HID106048,91.7956341828632,20
HID106083,62.3467684139214,13
HID106130,208.263212487607,8
HID106132,45.3292890155202,18
HID106578,62.85937930464,3
HID106595,191.347914783005,14
HID106611,57.5085223285817,9
HID106688,280.495460276028,22
HID106860,29.9003756078918,7
HID106901,87.61840867200669,14
HID106911,134.836434868185,2
HID107022,221.796284716477,5
HID107133,179.365070370052,2
HID107170,153.031187666554,4
HID107498,148.596594891663,
HID107534,106.595876707456,4
