hhid,province,raised_Poultry,raised_cattle_buffalo,raised_Livestock,raised_Livestock_Poultry,ag_area,ag_hh,zone,fhh,edu_hh,edu_hh_head,covid_shock,ag_comm,ag_assoc,ag_comm_assoc,animal_area,animal_ded_area,homelot_area,parcel_area,holding_area,animal_area_rate,rice,rice_harv_sold_pct,sold_rice,rice_area_agland_pct,rice_area_total_pct,rice_price_impt,value_rice_prod,rice_price,cashew,area_cashew_harvested,area_cashew_planted,qty_cashew_harvested,qty_cashew_own_use,qty_cashew_sale,qty_cashew_gift,qty_cashew_pay,qty_cashew_feed,qty_cashew_seed,qty_cashew_lost,qty_cashew_processed,cashew_harv_sold_pct,sold_cashew,cashew_area_agland_pct,cashew_area_total_pct,cashew_price_impt,value_cashew_prod,cashew_price,animal_disease,irrigation,drought,flood,ag_extension_training,family_hours,family_full_days,family_work_days
HID248554,25,1,1,1,1,.639,1,Plain,1,1,0,0,0,0,0,.0040000001899898,1,.03,.63,.66000003,.0060606063,1,0,0,.20344289,.19696969,1,380000,950,1,.5,.5,400,0,200,,,,,,0,.5,1,.78247261,.75757575,0,1200000,3000,0,0,0,0,0,5400,675,900
HID248558,7,1,0,0,1,.944,1,Coastal,0,3,1,0,0,0,0,.0040000001899898,1,.15,.89,1.04,.0038461541,1,0,0,.94279659,.85576928,1,4896000,1020,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,1108,138.5,318
HID248569,8,1,1,1,1,3.1752,1,Plain,0,2,0,0,0,0,0,.0020000000949949,1,.08,3.1,3.1800001,.00062893081,1,.44791666,1,.97631645,.97484273,0,33600000,700,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,1419,177.375,473
HID248645,14,1,0,0,1,1.2234,1,Plain,0,3,2,0,0,0,0,.003400000045076,1,.045,1.2,1.245,.0027309237,1,0,0,.98087299,.96385545,1,6510000,930,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,1,138,17.25,114
HID248656,4,1,0,0,1,2.0015,1,Tonle Sap,0,1,1,0,0,0,0,.0010000000474975,1,.01,,.0099999998,.10000001,1,.375,1,.99925059,200,0,5600000,700,0,,,,,,,,,,,,,,,,0,,,1,1,0,0,0,114,14.25,42
HID248793,17,,,,,.0751,1,Tonle Sap,1,2,1,0,0,0,0,,0,.5,,.5,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,1,1,2240,280,565
HID248802,6,1,0,0,1,.0004,1,Tonle Sap,0,3,3,0,0,0,0,.0003999999898952,1,.036,1,1.036,.00038610038,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,1,576,72,72
HID249185,21,1,1,1,1,1.0062,1,Plain,0,2,1,0,0,0,0,.0012000000569969,1,.05,1,1.05,.0011428572,1,.35714287,1,.99383819,.95238101,0,11480000,820,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,2000,250,528
HID249202,20,1,1,1,1,.3306,1,Plain,0,1,1,0,0,0,0,.0006000000284985,1,.06,.3,.35999998,.0016666668,1,0,0,.90744102,.83333337,1,864000,900,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,302,37.75,172
HID249361,14,,,,,.138,1,Plain,0,2,2,0,0,0,0,,0,.044,.13,.17399999,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,34,4.25,19
HID249410,2,1,0,0,1,.902,1,Tonle Sap,0,2,2,0,0,0,0,.0020000000949949,1,.16,,.16,.012500001,1,.41666666,1,.88691795,5,0,9960000,830,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,1,1230,153.75,300
HID249464,6,1,0,0,1,35,1,Tonle Sap,0,2,0,1,0,0,0,.003000000026077,1,.15,20,20.15,.00014888338,1,.48750001,1,.51428574,.89330024,0,128000000,800,1,,,600,0,300,,,,,,0,.5,1,,,0,1800000,3000,1,1,0,0,0,500,62.5,96
HID249618,13,,,,,35,1,Mountain,0,3,3,0,0,0,0,,0,.224,30,30.224001,,0,,,,,0,,,1,20,34,20000,0,10000,,,,,,0,.5,1,.97142857,1.1249338,0,96000000,4800,0,0,0,0,0,1640,205,280
HID249676,5,1,1,1,1,1.0068,1,Mountain,1,2,1,0,0,0,0,.0017999999690801,1,.065,1,1.0650001,.0016901407,1,0,0,.9932459,.93896711,1,5500000,1100,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,317,39.625,73
HID249686,4,1,0,0,1,1.605,1,Tonle Sap,0,3,2,0,0,0,0,.0049999998882413,1,.12,1.5,1.62,.0030864198,1,0,0,.93457943,.92592591,1,3240000,900,0,,,,,,,,,,,,,,,,0,,,0,0,1,0,0,0,0,0
HID249915,20,1,1,1,1,2.0041,1,Plain,0,2,2,0,0,0,0,.0040000001899898,1,.04,2,2.04,.0019607844,1,0,0,.74846566,.7352941,1,1800000,900,1,0,.015,0,,,,,,,,,,,.0074846563,.0073529412,0,,,0,1,0,0,0,1488,186,768
HID250299,5,1,1,1,1,4.1062,1,Mountain,0,2,2,0,0,0,0,.0062000001780689,1,.7,4,4.6999998,.001319149,1,.38235295,1,.97413665,.85106385,0,18700000,1100,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,1,2790,348.75,530
HID250364,11,1,1,1,1,2.3684,1,Mountain,0,2,2,0,1,1,1,.0529999993741512,1,1,2.1,3.0999999,.017096775,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,1,4880,610,610
HID250406,3,1,1,1,1,.5006,1,Plain,1,2,0,0,0,0,0,.0006000000284985,1,.0135,,.0135,.044444446,1,,,.99880141,37.037037,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,1,0,0,48,6,12
HID250423,14,1,1,1,1,1.8825,1,Plain,0,2,1,0,0,0,0,.0024999999441206,1,.25,1.5,1.75,.0014285714,1,.25,1,.79681277,.85714287,0,8800000,1100,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,1,1156,144.5,272
HID250430,3,1,0,0,1,2.004,1,Plain,0,0,,0,0,0,0,.0024999999441206,1,.03,1.5,1.53,.0016339869,1,0,0,.49900201,.65359479,1,1800000,900,1,1,1,1200,0,600,,,,,,0,.5,1,.49900201,.65359479,0,4200000,3500,0,1,0,0,0,1152,144,168
HID250448,3,1,0,1,1,.15,1,Plain,1,1,1,0,0,0,0,.0099999997764826,1,.324,,.324,.030864196,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,2500,312.5,250
HID250573,21,1,1,1,1,2.5025,1,Plain,0,1,1,0,0,0,0,.0024999999441206,1,.1456,2.45,2.5955999,.00096316845,1,.44897959,1,.47952047,.46232086,0,23520000,800,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,1,640,80,240
HID250595,8,,,,,.15,1,Plain,0,2,1,0,0,0,0,,0,.18,,.18000001,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,60,7.5,60
HID250646,8,1,0,0,1,.9385,1,Plain,1,2,1,0,0,0,0,.0010000000474975,1,.0175,.93,.94749999,.0010554091,1,.5,1,.99094301,.98153037,0,7500000,750,0,,,,,,,,,,,,,,,,0,,,1,1,0,0,1,5040,630,1440
HID250649,2,1,0,1,1,4.006,1,Tonle Sap,0,2,2,0,0,0,0,.003000000026077,1,.06,,.059999999,.050000001,1,.3125,1,.99850225,66.666672,0,14400000,900,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,1008,126,168
HID250741,6,1,0,1,1,1.0104,1,Tonle Sap,0,1,1,0,0,0,0,.0017999999690801,1,.211055,1,1.211055,.0014863074,1,0,0,.98970705,.82572633,1,1440000,900,0,,,,,,,,,,,,,,,,0,,,0,0,1,0,1,1440,180,720
HID250762,6,1,0,0,1,4.436,1,Tonle Sap,0,2,2,0,0,0,0,.0010000000474975,1,.175,4.4,4.5749998,.00021857925,1,.47,1,.99188459,.96174866,0,73000000,730,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,1,418,52.25,109
HID250890,5,1,0,0,1,1.9072,1,Mountain,1,3,1,0,0,0,0,.0012000000569969,1,.002,1.91,1.9119999,.00062761514,1,.125,1,.99622482,.99372387,0,8800000,1100,0,,,,,,,,,,,,,,,,0,,,0,0,0,1,0,1840,230,445
HID251177,13,1,0,0,1,5.0012,1,Mountain,0,1,1,1,0,0,0,.0012000000569969,1,.1365,5,5.1364999,.00023362214,0,,,,,0,,,1,0,5,0,,,,,,,,,,,.99976003,.97342551,0,,,0,0,1,0,0,8928,1116,1116
HID251185,2,,,,,8.16,1,Tonle Sap,0,3,,0,0,0,0,,0,.0405,8.16,8.2004995,,1,.44444445,1,.98039216,.97555035,0,28800000,800,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,54,6.75,18
HID251200,8,1,0,0,1,.53,1,Plain,0,2,1,0,0,0,0,.0299999993294477,1,.1466,.3,.44659999,.067174204,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,3840,480,540
HID251271,8,1,0,0,1,1.535,1,Plain,0,2,1,1,1,1,1,.0099999997764826,1,.045,1.5,1.545,.0064724921,1,.43859649,1,.97719872,.97087383,0,15960000,1000,0,,,,,,,,,,,,,,,,0,,,1,1,0,1,1,10752,1344,1536
HID251337,20,1,1,1,1,1.407,1,Plain,0,2,2,0,0,0,0,.003000000026077,1,.12,1.4,1.52,.0019736842,1,0,0,.99502486,.92105263,1,10800000,900,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,1,2224,278,760
HID251437,6,1,1,1,1,.403,1,Tonle Sap,0,1,0,0,0,0,0,.0010000000474975,1,.21,.4,.61000001,.0016393443,1,.48333332,1,.99255586,.6557377,0,4620000,770,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,685,85.625,115
HID251485,2,1,1,1,1,1.105,1,Tonle Sap,0,2,2,0,0,0,0,.0049999998882413,1,.12,1.744,1.864,.0026824034,1,0,0,.90497738,.53648072,1,4500000,900,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,3300,412.5,492
HID251506,2,1,0,0,1,35,1,Tonle Sap,0,0,0,1,1,1,1,.0044999998062849,1,.18,20,20.18,.00022299305,1,.5,1,.51428574,.89197224,0,136000000,850,0,,,,,,,,,,,,,,,,0,,,0,1,0,1,1,1600,200,200
HID251546,3,,,,,6,1,Plain,0,2,1,1,0,0,0,,0,.0285,6,6.0285001,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,2280,285,480
HID251559,8,1,0,0,1,1.55,1,Plain,0,2,0,0,0,0,0,.0399999991059303,1,.3,1.5,1.8,.022222223,1,.41666666,1,.96774191,.83333337,0,13200000,1100,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,2244,280.5,828
HID251569,14,1,0,0,1,.0032,1,Plain,1,1,1,0,0,0,0,.0012000000569969,1,.03,,.029999999,.040000003,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,1344,168,336
HID251644,7,1,1,1,1,.51,1,Coastal,0,2,0,0,0,0,0,.0049999998882413,1,.12,.485,.60500002,.0082644625,1,.083333336,1,.91176468,.76859504,0,2640000,1100,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,1,1530,191.25,480
HID251681,10,,,,,1.0286,1,Mountain,0,3,2,0,0,0,0,,0,.1035,,.1035,,1,.41999999,1,.97219521,9.6618357,0,13750000,1100,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,1210,151.25,670
HID251703,14,,,,,.015,1,Plain,1,2,1,0,0,0,0,,0,.048,,.048,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,52,6.5,26
HID251760,21,,,,,.2,1,Plain,0,2,2,0,0,0,0,,0,.0204,.2,.22040001,,1,0,0,1,.90744102,1,1116000,930,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,9,1.125,9
HID251825,25,1,0,0,1,.6052,1,Plain,0,3,2,0,0,0,0,.0001999999949476,1,.075,.6,.67500001,.00029629629,1,.037878789,1,.99140781,.8888889,0,2640000,1000,0,,,,,,,,,,,,,,,,0,,,0,0,1,0,0,630,78.75,126
HID251914,2,1,1,1,1,5.0718,1,Tonle Sap,0,2,1,1,0,0,0,.0017999999690801,1,.27,5,5.27,.00034155598,1,.3125,1,.78867465,.7590133,0,12928000,1010,0,,,,,,,,,,,,,,,,0,,,0,0,1,0,0,432,54,72
HID251980,8,1,0,0,1,.001,1,Plain,0,1,1,0,0,0,0,.0010000000474975,1,.018,,.017999999,.05555556,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,360,45,360
HID252175,8,1,0,0,1,.9004,1,Plain,0,1,1,0,0,0,0,.0003999999898952,1,.075,.85,.92500001,.00043243243,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,580,72.5,140
HID252295,14,1,1,1,1,.7339,1,Plain,1,2,2,0,0,0,0,.0024000001139939,1,.03,.73,.75999999,.0031578948,1,.23684211,1,.99468595,.96052635,0,3800000,1000,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,1782,222.75,297
HID252365,7,1,0,0,1,.3576,1,Coastal,1,2,0,0,0,0,0,,0,.16,,.16,,1,0,0,.55928409,1.25,1,244800,1020,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,288,36,72
HID252515,14,1,1,1,1,1.5116,1,Plain,0,3,2,0,0,0,0,.0115999998524785,1,.06,1.5,1.5599999,.0074358978,1,.125,1,.99232602,.96153849,0,8000000,1000,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,1,2360,295,805
HID252783,13,1,0,0,1,35,1,Mountain,0,3,1,0,0,0,0,.003000000026077,1,.15,,.15000001,.02,1,.2,1,.14285715,33.333332,0,16000000,800,0,,,,,,,,,,,,,,,,0,,,0,0,1,0,0,6184,773,782
HID252793,14,,,,,0,0,Plain,0,1,0,0,0,0,0,,0,.06,,.059999999,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,,0,0,0,150,18.75,50
HID252806,4,,,,,.9254,1,Tonle Sap,1,2,2,0,0,0,0,,0,.015,.8699999999999999,.88499999,,1,0,0,.99405664,1.039435,1,3925800,900,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,752,94,129
HID252889,1,1,1,1,1,.1249,1,Tonle Sap,1,2,1,1,0,0,0,.00089999998454,1,.03,.12,.15000001,.0059999996,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,1,432,54,96
HID253004,7,1,1,1,1,.3284,1,Coastal,0,2,1,0,0,0,0,.0007999999797903,1,.012,.32,.33199999,.0024096386,1,0,0,.97442144,.96385545,1,612000,1020,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,1440,180,1080
HID253068,2,,,,,12,1,Tonle Sap,0,2,2,0,0,0,0,,0,.0539,12,12.0539,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,1,0,0,696,87,96
HID253106,9,1,0,0,1,.021,1,Coastal,0,2,2,1,0,0,0,.0010000000474975,1,.03,,.029999999,.033333335,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,19,2.375,19
HID253342,,,,,,1.5,1,,1,1,1,0,0,0,0,,0,.025,,.025,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,100,12.5,20
HID253377,17,1,0,0,1,2.0505,1,Tonle Sap,0,1,1,0,0,0,0,.0005000000237487,1,.35,2,2.3499999,.00021276598,1,.40000001,1,.97537184,.85106385,0,20000000,1000,0,,,,,,,,,,,,,,,,0,,,0,1,1,0,0,920,115,460
HID253440,14,1,0,0,1,1.6695,1,Plain,0,2,2,0,0,0,0,.0225000008940697,1,.24,1.61,1.85,.012162163,1,.48333332,1,.96436059,.87027025,0,24000000,800,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,1,1400,175,350
HID253468,17,1,0,0,1,1.106,1,Tonle Sap,1,1,1,0,0,0,0,.0010000000474975,1,.4,1.1,1.5,.00066666672,1,0,0,.99457502,.73333335,1,3800000,950,0,,,,,,,,,,,,,,,,0,,,0,0,0,1,0,330,41.25,330
HID253506,3,1,0,0,1,.1507,1,Plain,0,2,1,0,0,0,0,.0003000000142492,1,.07,.15,.22,.0013636365,1,0,0,.99535501,.68181819,1,216000,900,0,,,,,,,,,,,,,,,,0,,,1,0,1,0,0,120,15,60
HID253511,8,1,0,0,1,.004,1,Plain,0,2,1,0,0,0,0,.0020000000949949,1,.02,,.02,.10000001,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,360,45,120
HID253539,4,1,0,0,1,8.0085,1,Tonle Sap,0,2,1,0,0,0,0,.0024999999441206,1,.036,8,8.0360003,.00031110004,1,.46666667,1,.62433666,.62220007,0,42000000,700,0,,,,,,,,,,,,,,,,0,,,0,1,1,0,0,1890,236.25,325
HID253653,4,1,1,1,1,1.4026,1,Tonle Sap,0,2,1,0,0,0,0,.0006000000284985,1,.02,1.4,1.42,.00042253523,1,.33333334,1,.9981463,.98591554,0,9720000,810,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,276,34.5,54
HID253657,20,1,1,1,1,.6018,1,Plain,0,2,1,0,0,0,0,.0006000000284985,1,.1,.6,.69999999,.00085714291,1,0,0,.99700898,.85714287,1,1800000,900,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,686,85.75,322
HID253941,13,1,0,0,1,4.0056,1,Mountain,0,2,1,0,1,0,1,.0006000000284985,1,.077,4,4.0770001,.00014716704,1,0,0,.37447575,.36791757,1,6300000,1000,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,380,47.5,50
HID253966,10,1,0,0,1,2.0006,1,Mountain,0,1,1,0,1,0,1,.0006000000284985,1,.143,,.14300001,.0041958042,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,1,720,90,120
HID254047,25,1,1,1,1,.5625,1,Plain,0,2,2,0,0,0,0,.0024999999441206,1,.14,.3,.44,.0056818179,1,0,0,.97777778,1.25,1,1900000,950,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,3060,382.5,405
HID254123,21,,,,,7,1,Plain,0,1,1,0,0,0,0,,0,.06,7,7.0599999,,1,.5,1,1,.99150145,0,118400000,740,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,540,67.5,90
HID254224,5,,,,,.003,1,Mountain,0,2,1,0,0,0,0,,0,.03,,.029999999,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,2346,293.25,789
HID254242,7,1,1,1,1,.772,1,Coastal,0,1,0,0,0,0,0,.0020000000949949,1,.06,.74,.80000001,.0025000002,1,.13333334,1,.9585492,.92500001,0,2700000,900,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,840,105,390
HID254251,1,,,,,1.89,1,Tonle Sap,0,2,2,1,0,0,0,,0,1.15,1.15,2.3,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,1,0,1,0,736,92,128
HID254309,,1,1,1,1,.303,1,,0,1,1,0,0,0,0,.0010000000474975,1,.06,,.059999999,.016666668,1,0,0,.99009901,5,1,300000,1000,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,756,94.5,396
HID254445,10,,,,,.5,1,Mountain,0,1,1,0,0,0,0,,0,.05,.5,.55000001,,1,0,0,1,.90909088,1,3800000,1000,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,120,15,15
HID254451,14,1,1,1,1,1.022,1,Plain,0,1,1,0,0,0,0,.0020000000949949,1,.081,1,1.081,.0018501389,1,0,0,.9784736,.92506939,1,4650000,930,0,,,,,,,,,,,,,,,,0,,,0,1,1,1,1,760,95,196
HID254478,3,,,,,.7,1,Plain,0,1,1,0,0,0,0,,0,.0845,.7,.7845,,1,.33333334,1,1,.89228809,0,4500000,750,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,12,1.5,6
HID254482,2,1,1,1,1,3.055,1,Tonle Sap,0,3,2,0,0,0,0,.0049999998882413,1,.15,3,3.1500001,.0015873015,1,.15000001,1,.65466446,.6349206,0,8500000,850,0,,,,,,,,,,,,,,,,0,,,0,0,1,0,1,8880,1110,1800
HID254504,10,1,1,1,1,2.103,1,Mountain,0,2,2,0,0,0,0,.003000000026077,1,.09,2.1,2.1900001,.0013698629,1,.25641027,1,.80836898,.77625567,0,8151000,950,0,,,,,,,,,,,,,,,,0,,,0,1,1,0,0,1980,247.5,810
HID254587,3,1,1,1,1,.3541,1,Plain,1,2,1,0,0,0,0,.0015999999595806,1,.15,.35,.5,.0031999999,1,0,0,.98842132,.69999999,1,2340000,900,0,,,,,,,,,,,,,,,,0,,,0,0,1,0,0,2885,360.625,390
HID254606,2,1,0,0,1,4.215,1,Tonle Sap,0,2,2,0,0,0,0,.2000000029802322,1,.2,4,4.1999998,.047619052,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,3165,395.625,453
HID254628,23,1,0,0,1,.8427,1,Coastal,0,2,1,0,0,0,0,.0012000000569969,1,.03,.8277,.85769999,.0013990906,1,0,0,.24172303,.23749563,1,770000,1000,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,288,36,108
HID254679,20,1,1,1,1,.5318000000000001,1,Plain,0,2,1,0,0,0,0,.0017999999690801,1,.5,,.5,.0035999999,1,0,0,.90259498,.95999998,1,1800000,900,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,2576,322,472
HID254841,21,,,,,.37,1,Plain,0,2,2,0,0,0,0,,0,.06,.37,.43000001,,1,0,0,1,.86046511,1,613800,930,0,,,,,,,,,,,,,,,,0,,,0,0,1,0,0,540,67.5,540
HID254848,18,1,0,0,1,1.7833,1,Coastal,0,2,1,0,0,0,0,.0003000000142492,1,.14,3.3,3.4400001,.000087209308,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,606,75.75,87
HID254977,14,1,1,1,1,.7315,1,Plain,0,2,1,0,0,0,0,.0015000000130385,1,.05,.7,.75,.0020000001,1,0,0,.95693779,.93333334,1,2790000,930,0,,,,,,,,,,,,,,,,0,,,1,0,0,0,0,1080,135,600
HID255009,1,1,0,0,1,1.9812,1,Tonle Sap,1,3,0,0,0,0,0,.0012000000569969,1,.18,1.98,2.1600001,.00055555557,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,1,0,0,36,4.5,9
HID255014,5,,,,,.204,1,Mountain,0,1,1,0,0,0,0,,0,.03,.2,.23,,1,0,0,.98039216,.86956519,1,880000,1100,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,305,38.125,65
HID255018,25,,,,,.174,1,Plain,1,2,0,0,0,0,0,,0,.1183,,.1183,,1,0,0,.14942528,.21978022,1,190000,950,0,,,,,,,,,,,,,,,,0,,,0,1,1,0,0,240,30,40
HID255023,8,1,0,0,1,.3716,1,Plain,0,2,1,0,0,0,0,.0015999999595806,1,.115,.32,.435,.0036781607,1,0,0,.86114103,.73563218,1,2160000,900,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,3000,375,600
HID255062,14,1,1,1,1,.7008,1,Plain,1,2,1,0,0,0,0,.0007999999797903,1,.15,.7,.85000002,.00094117643,1,.41666666,1,.99885845,.82352936,0,9600000,800,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,1,432,54,108
HID255075,21,,,,,.25,1,Plain,0,2,1,0,0,0,0,,0,.05,.25,.30000001,,1,0,0,1,.83333331,1,1023000,930,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,45,5.625,15
HID255100,19,1,1,1,1,2,1,Mountain,0,2,1,0,0,0,0,,0,.005,2,2.0050001,,1,0,0,1,.9975062,1,4000000,1000,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,2106,263.25,378
HID255113,21,,,,,.4,1,Plain,0,2,2,0,0,0,0,,0,.12,.4,.51999998,,1,0,0,1,.76923078,1,2418000,930,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,150,18.75,90
HID255160,6,1,1,1,1,.0025,1,Tonle Sap,0,3,1,0,0,0,0,.0024999999441206,1,.02125,,.02125,.11764705,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,260,32.5,130
HID255161,1,1,1,1,1,4.3216,1,Tonle Sap,0,1,1,1,0,0,0,.0015999999595806,1,.045,4.32,4.3649998,.00036655212,1,.375,1,.53683823,.53150058,0,8800000,1100,0,,,,,,,,,,,,,,,,0,,,0,0,1,1,1,2066,258.25,265
HID255166,7,,,,,.22,1,Coastal,0,2,2,0,0,0,0,,0,.06,.22,.28,,1,0,0,1,.78571427,1,1244400,1020,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,330,41.25,120
HID255168,3,1,0,0,1,.00003,1,Plain,0,2,2,0,0,0,0,.0000249999993684,1,.0105,,.0105,.0023809522,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,558,69.75,204
HID255213,3,,,,,1.015,1,Plain,0,2,2,0,0,0,0,,0,.125,1,1.125,,1,.083333336,1,.98522168,.8888889,0,6600000,1100,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,1956,244.5,356
HID255225,6,1,1,1,1,4.1606,1,Tonle Sap,1,2,2,0,0,0,0,.0006000000284985,1,.135,4.130000000000001,4.2649999,.00014067997,1,.2,1,.57683986,.56271982,0,14400000,720,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,1560,195,210
HID255311,5,1,1,1,1,.832,1,Mountain,0,2,1,0,0,0,0,.0020000000949949,1,.15,.7,.85000002,.0023529413,1,0,0,.99759614,.97647059,1,3168000,1100,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,420,52.5,72
HID255328,21,1,0,0,1,3.0084,1,Plain,0,2,1,0,0,0,0,.0083999997004867,1,.4,3,3.4000001,.0024705881,1,.42857143,1,.99720782,.88235289,0,28700000,820,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,1,2160,270,720
HID255415,4,1,1,1,1,1.5035,1,Tonle Sap,1,2,0,1,0,0,0,.0015000000130385,1,2.5,1.5,4,.000375,1,,,.99767208,.375,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,4140,517.5,810
HID255464,2,1,1,1,1,.315,1,Tonle Sap,0,2,1,0,0,0,0,.0149999996647239,1,.02,.3,.31999999,.046875,1,0,0,.95238096,.9375,1,1800000,900,0,,,,,,,,,,,,,,,,0,,,1,0,1,0,0,6840,855,1440
HID255471,21,1,1,1,1,.4408,1,Plain,0,2,1,1,0,0,0,.0007999999797903,1,.04,.44,.47999999,.0016666667,1,0,0,.9981851,.91666669,1,2864400,930,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,8632,1079,1160
HID255671,17,1,1,1,1,1.603,1,Tonle Sap,1,1,1,0,0,0,0,.0020000000949949,1,.0651,1.7,1.7651,.0011330803,1,0,0,.24953213,.22661605,1,1520000,950,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,1275,159.375,350
HID255759,14,1,0,0,1,2.201,1,Plain,0,3,1,1,0,0,0,.0010000000474975,1,.5,2,2.5,.00040000002,1,0,0,.90867788,.80000001,1,5580000,930,0,,,,,,,,,,,,,,,,0,,,0,1,0,1,0,150,18.75,30
HID255841,2,1,0,0,1,7.3065,1,Tonle Sap,0,2,2,0,0,0,0,.0065000001341105,1,.105,7.3,7.4050002,.00087778526,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,4080,510,636
HID255858,25,1,0,0,1,.2435,1,Plain,1,1,1,0,0,0,0,.0005000000237487,1,.125,.24,.36500001,.0013698631,1,0,0,.98562628,.65753424,1,684000,950,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,810,101.25,135
