hhid,province,raised_Poultry,raised_cattle_buffalo,raised_Livestock,raised_Livestock_Poultry,ag_area,ag_hh,zone,fhh,edu_hh,edu_hh_head,covid_shock,ag_comm,ag_assoc,ag_comm_assoc,animal_area,animal_ded_area,homelot_area,parcel_area,holding_area,animal_area_rate,rice,rice_harv_sold_pct,sold_rice,rice_area_agland_pct,rice_area_total_pct,rice_price_impt,value_rice_prod,rice_price,cashew,area_cashew_harvested,area_cashew_planted,qty_cashew_harvested,qty_cashew_own_use,qty_cashew_sale,qty_cashew_gift,qty_cashew_pay,qty_cashew_feed,qty_cashew_seed,qty_cashew_lost,qty_cashew_processed,cashew_harv_sold_pct,sold_cashew,cashew_area_agland_pct,cashew_area_total_pct,cashew_price_impt,value_cashew_prod,cashew_price,animal_disease,irrigation,drought,flood,ag_extension_training,family_hours,family_full_days,family_work_days
HID101901,4,1,1,1,1,1.012,1,Tonle Sap,1,1,1,0,0,0,0,.0020000000949949,1,.15,.9099999999999999,1.0600001,.0018867925,1,0,0,.8992095,.85849053,1,2070000,900,1,,,60,0,30,,,,,,0,.5,1,,,0,180000,3000,0,1,0,0,0,1600,200,200
HID101937,25,1,0,1,1,3.1015,1,Plain,0,2,1,0,0,0,0,,0,.06,3.1,3.1600001,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,1,3878,484.75,654
HID102093,1,1,0,0,1,3.5535,1,Tonle Sap,0,2,2,0,0,0,0,.0015000000130385,1,.078,3.5,3.5780001,.00041922863,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,1,0,0,327,40.875,47
HID102146,8,,,,,.285,1,Plain,0,2,2,0,0,0,0,,0,.15,.24,.39000002,,1,0,0,.84210527,.61538458,1,1260000,900,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,1640,205,660
HID102154,21,,,,,.1005,1,Plain,1,1,1,0,0,0,0,,0,.024,.1,.124,,1,0,0,.99502486,.80645162,1,1116000,930,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,54,6.75,18
HID102185,22,1,0,0,1,4.01,1,Tonle Sap,1,2,0,0,0,0,0,.0049999998882413,1,.25,4,4.25,.0011764705,1,.25,1,.24937657,.23529412,0,4000000,1000,1,3,3,20000,0,10000,,,,,,0,.5,1,.74812967,.70588237,0,80000000,4000,0,0,0,0,0,624,78,144
HID102223,12,,,,,.286,1,Phnom Penh,1,1,1,0,0,0,0,,0,.04,.28,.31999999,,1,0,0,.97902095,.875,1,2160000,1200,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,96,12,48
HID102269,25,1,0,0,1,.5318000000000001,1,Plain,0,2,1,0,0,0,0,.0006000000284985,1,.0266,.65,.67659998,.00088678696,1,.375,1,.99661529,.78332841,0,6400000,800,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,1060,132.5,370
HID102336,14,1,0,0,1,1.0215,1,Plain,0,2,2,0,0,0,0,.0015000000130385,1,.15,.8,.94999999,.0015789474,1,0,0,.97895253,1.0526316,1,5161500,930,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,240,30,120
HID102342,13,1,0,0,1,15.0212,1,Mountain,0,2,2,0,0,0,0,.0012000000569969,1,.0372,,.0372,.032258067,0,,,,,0,,,1,1.5,15,1000,0,500,,,,,,0,.5,1,.99858868,403.2258,0,4000000,4000,0,0,0,0,0,2848,356,376
HID102398,4,1,0,0,1,2.4235,1,Tonle Sap,0,3,2,1,0,0,0,.010499999858439,1,.21,2.41,2.6199999,.0040076338,1,.43478259,1,.66020221,.61068708,0,34500000,750,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,1534,191.75,313
HID102464,6,1,0,0,1,.5168,1,Tonle Sap,0,1,1,0,0,0,0,.0017999999690801,1,.077,,.077,.023376623,1,0,0,.96749228,6.4935064,1,900000,900,0,,,,,,,,,,,,,,,,0,,,0,0,1,0,0,40,5,30
HID102469,14,1,1,1,1,.6,1,Plain,1,1,1,0,0,0,0,.0199999995529652,1,.26,.5,.75999999,.02631579,1,0,0,.83333331,.65789473,1,2604000,930,0,,,,,,,,,,,,,,,,0,,,0,1,0,1,0,456,57,138
HID102510,16,1,1,1,1,3.0004,1,Mountain,0,0,0,1,0,0,0,.0003999999898952,1,.005,3,3.0050001,.00013311148,0,,,,,0,,,1,3,3,5000,0,2500,,,,,,0,.5,1,.99986666,.99833608,0,17500000,3500,1,0,0,0,0,1178,147.25,314
HID102593,12,,,,,.1,1,Phnom Penh,0,2,1,0,0,0,0,,0,.007,.08,.086999997,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,1440,180,360
HID102658,7,1,1,1,1,.3087,1,Coastal,0,1,1,0,0,0,0,.0037000000011176,1,.02,.2,.22,.016818183,1,0,0,.97181731,1.3636364,1,1530000,1020,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,3254,406.75,1087
HID102760,1,1,0,0,1,.1666,1,Tonle Sap,0,2,1,1,0,0,0,.0015999999595806,1,.02,.48,.5,.0031999999,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,92,11.5,32
HID102780,25,1,1,1,1,3.51,1,Plain,0,3,1,0,0,0,0,.0049999998882413,1,.03,3.5,3.53,.0014164306,0,,,,,0,,,1,1.5,1.5,1500,0,750,,,,,,0,.5,1,.42735043,.42492917,0,6000000,4000,0,0,0,1,0,3934,491.75,618
HID102869,8,1,1,1,1,.664,1,Plain,0,2,1,0,0,0,0,.0040000001899898,1,.011,.66,.671,.0059612519,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,2250,281.25,450
HID102900,3,1,0,0,1,.5014999999999999,1,Plain,1,2,1,0,0,0,0,.0003000000142492,1,.426,.5,.926,.00032397409,1,0,0,.59820539,.32397407,1,1134000,900,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,1179,147.375,187
HID102936,14,1,1,1,1,1.0846,1,Plain,0,2,1,0,0,0,0,.0006000000284985,1,.1,.98,1.08,.00055555557,1,.15151516,1,.99575883,.99999994,0,5973000,905,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,27,3.375,27
HID103054,2,1,0,1,1,1.2055,1,Tonle Sap,0,2,2,0,0,0,0,.0049999998882413,1,.126,1.2,1.326,.0037707391,1,.31481481,1,.99543756,.90497738,0,5940000,1100,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,980,122.5,175
HID103069,3,1,1,1,1,.731,1,Plain,1,2,1,0,0,0,0,.1000000014901161,1,.2,.53,.73000002,.1369863,1,.33333334,1,.8618331,.86301368,0,5400000,900,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,696,87,174
HID103072,6,1,1,1,1,2.3094,1,Tonle Sap,0,1,1,0,0,0,0,.0013999999500811,1,.4,2.008,2.408,.00058139535,1,.46258503,1,.96691781,.92732561,0,5512500,750,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,2290,286.25,340
HID103155,5,1,1,1,1,2.27,1,Mountain,0,2,1,0,0,0,0,.0199999995529652,1,.12,1.2,1.3200001,.015151515,1,.2,1,.969163,1.6666666,0,11000000,1100,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,600,75,120
HID103168,17,1,1,1,1,.1272,1,Tonle Sap,1,2,1,1,0,0,0,.0071999998763204,1,.18,.06,.24000001,.029999997,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,1,1824,228,456
HID103184,7,,,,,.485,1,Coastal,0,2,1,1,0,0,0,,0,.015,.485,.5,,1,0,0,1,.97000003,1,1836000,1020,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,240,30,60
HID103193,10,1,1,1,1,4.046,1,Mountain,0,2,2,0,1,1,1,.0060000000521541,1,.055,,.055,.10909091,1,.30000001,1,.98863077,72.727272,0,14000000,1400,0,,,,,,,,,,,,,,,,0,,,1,1,0,1,1,4800,600,600
HID103228,6,1,1,1,1,1.7506,1,Tonle Sap,1,1,0,0,0,0,0,.0006000000284985,1,.077,4,4.0770001,.00014716704,1,0,0,.39986292,.17169487,1,1080000,900,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,1656,207,516
