year,value,product_general,unit,flow,dataset,product_detailed,dataset_product
2018,.289000004529953,cashew,1 million USD,imports,FAOSTAT,"Cashew nuts, shelled","FAOSTAT - Cashew nuts, shelled"
2018,.0758300051093102,cashew,1000 t,exports,FAOSTAT,"Cashew nuts, shelled","FAOSTAT - Cashew nuts, shelled"
2018,.6710000038146973,cashew,1 million USD,exports,FAOSTAT,"Cashew nuts, shelled","FAOSTAT - Cashew nuts, shelled"
2019,.3749600052833557,cashew,1000 t,exports,FAOSTAT,"Cashew nuts, shelled","FAOSTAT - Cashew nuts, shelled"
2019,1.590000033378601,cashew,1 million USD,exports,FAOSTAT,"Cashew nuts, shelled","FAOSTAT - Cashew nuts, shelled"
2020,.4701400101184845,cashew,1000 t,exports,FAOSTAT,"Cashew nuts, shelled","FAOSTAT - Cashew nuts, shelled"
2020,2.463000059127808,cashew,1 million USD,exports,FAOSTAT,"Cashew nuts, shelled","FAOSTAT - Cashew nuts, shelled"
2021,.0273700002580881,cashew,1000 t,imports,FAOSTAT,"Cashew nuts, shelled","FAOSTAT - Cashew nuts, shelled"
2021,.025000000372529,cashew,1 million USD,imports,FAOSTAT,"Cashew nuts, shelled","FAOSTAT - Cashew nuts, shelled"
2021,1.205939888954163,cashew,1000 t,exports,FAOSTAT,"Cashew nuts, shelled","FAOSTAT - Cashew nuts, shelled"
2021,2.584000110626221,cashew,1 million USD,exports,FAOSTAT,"Cashew nuts, shelled","FAOSTAT - Cashew nuts, shelled"
2022,.0928000062704086,cashew,1000 t,imports,FAOSTAT,"Cashew nuts, shelled","FAOSTAT - Cashew nuts, shelled"
2022,.0930000022053719,cashew,1 million USD,imports,FAOSTAT,"Cashew nuts, shelled","FAOSTAT - Cashew nuts, shelled"
2022,.7282100319862366,cashew,1000 t,exports,FAOSTAT,"Cashew nuts, shelled","FAOSTAT - Cashew nuts, shelled"
2022,1.786999940872192,cashew,1 million USD,exports,FAOSTAT,"Cashew nuts, shelled","FAOSTAT - Cashew nuts, shelled"
2014,.047800000756979,poultry,1000 t,imports,FAOSTAT,"Meat of chickens, fresh or chilled","FAOSTAT - Meat of chickens, fresh or chilled"
2014,.0769999995827675,poultry,1 million USD,imports,FAOSTAT,"Meat of chickens, fresh or chilled","FAOSTAT - Meat of chickens, fresh or chilled"
2015,.0061300001107156,poultry,1000 t,imports,FAOSTAT,"Meat of chickens, fresh or chilled","FAOSTAT - Meat of chickens, fresh or chilled"
2015,.0299999993294477,poultry,1 million USD,imports,FAOSTAT,"Meat of chickens, fresh or chilled","FAOSTAT - Meat of chickens, fresh or chilled"
2015,.0008699999889359,poultry,1000 t,exports,FAOSTAT,"Meat of chickens, fresh or chilled","FAOSTAT - Meat of chickens, fresh or chilled"
2015,.0209999997168779,poultry,1 million USD,exports,FAOSTAT,"Meat of chickens, fresh or chilled","FAOSTAT - Meat of chickens, fresh or chilled"
2016,.7559699416160583,poultry,1000 t,imports,FAOSTAT,"Meat of chickens, fresh or chilled","FAOSTAT - Meat of chickens, fresh or chilled"
2016,1.899999976158142,poultry,1 million USD,imports,FAOSTAT,"Meat of chickens, fresh or chilled","FAOSTAT - Meat of chickens, fresh or chilled"
2017,.8726300001144409,poultry,1000 t,imports,FAOSTAT,"Meat of chickens, fresh or chilled","FAOSTAT - Meat of chickens, fresh or chilled"
2017,2.282000064849854,poultry,1 million USD,imports,FAOSTAT,"Meat of chickens, fresh or chilled","FAOSTAT - Meat of chickens, fresh or chilled"
2018,1.084579944610596,poultry,1000 t,imports,FAOSTAT,"Meat of chickens, fresh or chilled","FAOSTAT - Meat of chickens, fresh or chilled"
2018,2.898999929428101,poultry,1 million USD,imports,FAOSTAT,"Meat of chickens, fresh or chilled","FAOSTAT - Meat of chickens, fresh or chilled"
2018,0,poultry,1000 t,exports,FAOSTAT,"Meat of chickens, fresh or chilled","FAOSTAT - Meat of chickens, fresh or chilled"
2018,.0379999987781048,poultry,1 million USD,exports,FAOSTAT,"Meat of chickens, fresh or chilled","FAOSTAT - Meat of chickens, fresh or chilled"
2019,.0309200007468462,poultry,1000 t,imports,FAOSTAT,"Meat of chickens, fresh or chilled","FAOSTAT - Meat of chickens, fresh or chilled"
2019,.0780000016093254,poultry,1 million USD,imports,FAOSTAT,"Meat of chickens, fresh or chilled","FAOSTAT - Meat of chickens, fresh or chilled"
2020,.0257099997252226,poultry,1000 t,imports,FAOSTAT,"Meat of chickens, fresh or chilled","FAOSTAT - Meat of chickens, fresh or chilled"
2020,.0689999982714653,poultry,1 million USD,imports,FAOSTAT,"Meat of chickens, fresh or chilled","FAOSTAT - Meat of chickens, fresh or chilled"
2021,.1544900089502335,poultry,1000 t,imports,FAOSTAT,"Meat of chickens, fresh or chilled","FAOSTAT - Meat of chickens, fresh or chilled"
2021,.3519999980926514,poultry,1 million USD,imports,FAOSTAT,"Meat of chickens, fresh or chilled","FAOSTAT - Meat of chickens, fresh or chilled"
2022,.8809400200843811,poultry,1000 t,imports,FAOSTAT,"Meat of chickens, fresh or chilled","FAOSTAT - Meat of chickens, fresh or chilled"
2022,1.503999948501587,poultry,1 million USD,imports,FAOSTAT,"Meat of chickens, fresh or chilled","FAOSTAT - Meat of chickens, fresh or chilled"
2013,60.303232,cashew,1 million USD,exports,OEC,Cashew,OEC - Cashew
2013,.433555,cashew,1 million USD,imports,OEC,Cashew,OEC - Cashew
2013,.433555,poultry,1 million USD,imports,OEC,Poultry,OEC - Poultry
2014,48.114394,cashew,1 million USD,exports,OEC,Cashew,OEC - Cashew
2014,.130792,cashew,1 million USD,imports,OEC,Cashew,OEC - Cashew
2014,.130792,poultry,1 million USD,imports,OEC,Poultry,OEC - Poultry
2015,134.431299,cashew,1 million USD,exports,OEC,Cashew,OEC - Cashew
2015,.005547,poultry,1 million USD,exports,OEC,Poultry,OEC - Poultry
2015,.12086,cashew,1 million USD,imports,OEC,Cashew,OEC - Cashew
2015,.12086,poultry,1 million USD,imports,OEC,Poultry,OEC - Poultry
2016,114.860481,cashew,1 million USD,exports,OEC,Cashew,OEC - Cashew
2016,.233777,poultry,1 million USD,exports,OEC,Poultry,OEC - Poultry
2016,.021225,cashew,1 million USD,imports,OEC,Cashew,OEC - Cashew
2016,.021225,poultry,1 million USD,imports,OEC,Poultry,OEC - Poultry
2017,159.225877,cashew,1 million USD,exports,OEC,Cashew,OEC - Cashew
2017,.402673,cashew,1 million USD,imports,OEC,Cashew,OEC - Cashew
2017,.402673,poultry,1 million USD,imports,OEC,Poultry,OEC - Poultry
2018,304.308066,cashew,1 million USD,exports,OEC,Cashew,OEC - Cashew
2018,.953437,cashew,1 million USD,imports,OEC,Cashew,OEC - Cashew
2018,.953437,poultry,1 million USD,imports,OEC,Poultry,OEC - Poultry
2019,281.097297,cashew,1 million USD,exports,OEC,Cashew,OEC - Cashew
2019,3.365908,cashew,1 million USD,imports,OEC,Cashew,OEC - Cashew
2019,3.365908,poultry,1 million USD,imports,OEC,Poultry,OEC - Poultry
2020,258.017031,cashew,1 million USD,exports,OEC,Cashew,OEC - Cashew
2020,6.845912,cashew,1 million USD,imports,OEC,Cashew,OEC - Cashew
2020,6.845912,poultry,1 million USD,imports,OEC,Poultry,OEC - Poultry
2021,10.844836,cashew,1 million USD,exports,OEC,Cashew,OEC - Cashew
2021,7.250809,cashew,1 million USD,imports,OEC,Cashew,OEC - Cashew
2021,7.250809,poultry,1 million USD,imports,OEC,Poultry,OEC - Poultry
2022,982.3006339999999,cashew,1 million USD,exports,OEC,Cashew,OEC - Cashew
2022,6.020269,cashew,1 million USD,imports,OEC,Cashew,OEC - Cashew
2022,6.020269,poultry,1 million USD,imports,OEC,Poultry,OEC - Poultry
